"","YR","GENDER","AGE","ALIVE_N","ALIVE_AND_DIAG_N","ALIVE_AND_ART_N","ALIVE_AND_SEQ_N"
"1",2002.99726027397,"F","(12,16]",135,0,0,0
"2",2002.99726027397,"F","(16,20]",195,2,0,0
"3",2002.99726027397,"F","(20,25]",175,10,0,1
"4",2002.99726027397,"F","(25,30]",144,6,0,0
"5",2002.99726027397,"F","(30,35]",155,5,0,2
"6",2002.99726027397,"F","(35,40]",76,3,0,0
"7",2002.99726027397,"F","(40,50]",103,8,0,0
"8",2002.99726027397,"F","(50,60]",58,6,0,0
"9",2002.99726027397,"F","(60,Inf]",48,3,0,1
"10",2002.99726027397,"M","(12,16]",186,0,0,0
"11",2002.99726027397,"M","(16,20]",220,0,0,0
"12",2002.99726027397,"M","(20,25]",209,1,0,0
"13",2002.99726027397,"M","(25,30]",171,3,0,0
"14",2002.99726027397,"M","(30,35]",137,12,0,1
"15",2002.99726027397,"M","(35,40]",85,3,0,0
"16",2002.99726027397,"M","(40,50]",121,9,0,1
"17",2002.99726027397,"M","(50,60]",60,5,0,1
"18",2002.99726027397,"M","(60,Inf]",33,1,0,0
"19",2006.99726027397,"F","(12,16]",154,0,0,0
"20",2006.99726027397,"F","(16,20]",207,3,0,0
"21",2006.99726027397,"F","(20,25]",204,5,0,1
"22",2006.99726027397,"F","(25,30]",191,16,2,4
"23",2006.99726027397,"F","(30,35]",128,12,0,2
"24",2006.99726027397,"F","(35,40]",115,8,1,0
"25",2006.99726027397,"F","(40,50]",110,15,2,2
"26",2006.99726027397,"F","(50,60]",53,5,1,0
"27",2006.99726027397,"F","(60,Inf]",46,4,0,0
"28",2006.99726027397,"M","(12,16]",172,0,0,0
"29",2006.99726027397,"M","(16,20]",227,1,0,0
"30",2006.99726027397,"M","(20,25]",240,2,0,1
"31",2006.99726027397,"M","(25,30]",180,11,0,0
"32",2006.99726027397,"M","(30,35]",167,17,0,3
"33",2006.99726027397,"M","(35,40]",127,10,0,0
"34",2006.99726027397,"M","(40,50]",120,10,0,0
"35",2006.99726027397,"M","(50,60]",60,11,1,3
"36",2006.99726027397,"M","(60,Inf]",33,4,0,0
"37",2010.99726027397,"F","(12,16]",199,0,0,0
"38",2010.99726027397,"F","(16,20]",233,2,0,0
"39",2010.99726027397,"F","(20,25]",265,12,0,0
"40",2010.99726027397,"F","(25,30]",220,15,0,0
"41",2010.99726027397,"F","(30,35]",159,19,5,1
"42",2010.99726027397,"F","(35,40]",122,14,4,2
"43",2010.99726027397,"F","(40,50]",119,11,0,1
"44",2010.99726027397,"F","(50,60]",56,9,1,0
"45",2010.99726027397,"F","(60,Inf]",48,6,1,1
"46",2010.99726027397,"M","(12,16]",200,0,0,0
"47",2010.99726027397,"M","(16,20]",235,2,0,1
"48",2010.99726027397,"M","(20,25]",233,3,0,1
"49",2010.99726027397,"M","(25,30]",204,11,0,1
"50",2010.99726027397,"M","(30,35]",161,18,1,1
"51",2010.99726027397,"M","(35,40]",136,24,3,2
"52",2010.99726027397,"M","(40,50]",115,11,3,1
"53",2010.99726027397,"M","(50,60]",54,7,0,0
"54",2010.99726027397,"M","(60,Inf]",39,6,1,1
"55",2014.99726027397,"F","(12,16]",232,0,0,0
"56",2014.99726027397,"F","(16,20]",253,4,1,0
"57",2014.99726027397,"F","(20,25]",285,11,1,0
"58",2014.99726027397,"F","(25,30]",223,16,0,2
"59",2014.99726027397,"F","(30,35]",161,14,2,3
"60",2014.99726027397,"F","(35,40]",106,15,4,1
"61",2014.99726027397,"F","(40,50]",151,14,2,2
"62",2014.99726027397,"F","(50,60]",69,7,0,2
"63",2014.99726027397,"F","(60,Inf]",44,0,0,0
"64",2014.99726027397,"M","(12,16]",239,0,0,0
"65",2014.99726027397,"M","(16,20]",234,1,0,0
"66",2014.99726027397,"M","(20,25]",297,9,1,1
"67",2014.99726027397,"M","(25,30]",224,13,3,3
"68",2014.99726027397,"M","(30,35]",192,12,2,1
"69",2014.99726027397,"M","(35,40]",147,20,8,4
"70",2014.99726027397,"M","(40,50]",151,17,6,1
"71",2014.99726027397,"M","(50,60]",54,8,3,1
"72",2014.99726027397,"M","(60,Inf]",40,9,1,0
