"","YR","GENDER","AGE","ALIVE_N","ALIVE_AND_DIAG_N","ALIVE_AND_ART_N","ALIVE_AND_SEQ_N"
"1",2002.99726027397,"F","(12,16]",182,0,0,0
"2",2002.99726027397,"F","(16,20]",196,0,0,0
"3",2002.99726027397,"F","(20,25]",182,10,0,0
"4",2002.99726027397,"F","(25,30]",152,2,0,0
"5",2002.99726027397,"F","(30,35]",142,6,0,1
"6",2002.99726027397,"F","(35,40]",77,5,0,1
"7",2002.99726027397,"F","(40,50]",110,6,0,1
"8",2002.99726027397,"F","(50,60]",72,6,0,1
"9",2002.99726027397,"F","(60,Inf]",32,6,0,0
"10",2002.99726027397,"M","(12,16]",164,0,0,0
"11",2002.99726027397,"M","(16,20]",228,0,0,0
"12",2002.99726027397,"M","(20,25]",190,0,0,0
"13",2002.99726027397,"M","(25,30]",158,3,0,0
"14",2002.99726027397,"M","(30,35]",146,4,0,1
"15",2002.99726027397,"M","(35,40]",105,9,0,1
"16",2002.99726027397,"M","(40,50]",107,9,0,0
"17",2002.99726027397,"M","(50,60]",57,4,0,0
"18",2002.99726027397,"M","(60,Inf]",39,4,0,2
"19",2006.99726027397,"F","(12,16]",150,0,0,0
"20",2006.99726027397,"F","(16,20]",215,1,0,0
"21",2006.99726027397,"F","(20,25]",232,13,0,2
"22",2006.99726027397,"F","(25,30]",176,15,1,3
"23",2006.99726027397,"F","(30,35]",148,15,1,4
"24",2006.99726027397,"F","(35,40]",125,10,1,1
"25",2006.99726027397,"F","(40,50]",120,11,0,1
"26",2006.99726027397,"F","(50,60]",57,6,0,0
"27",2006.99726027397,"F","(60,Inf]",47,3,1,1
"28",2006.99726027397,"M","(12,16]",170,0,0,0
"29",2006.99726027397,"M","(16,20]",222,0,0,0
"30",2006.99726027397,"M","(20,25]",235,5,1,0
"31",2006.99726027397,"M","(25,30]",186,12,0,1
"32",2006.99726027397,"M","(30,35]",142,13,0,2
"33",2006.99726027397,"M","(35,40]",115,9,0,1
"34",2006.99726027397,"M","(40,50]",136,14,1,3
"35",2006.99726027397,"M","(50,60]",56,4,1,0
"36",2006.99726027397,"M","(60,Inf]",32,4,0,0
"37",2010.99726027397,"F","(12,16]",218,0,0,0
"38",2010.99726027397,"F","(16,20]",238,5,0,1
"39",2010.99726027397,"F","(20,25]",236,14,0,2
"40",2010.99726027397,"F","(25,30]",216,16,3,1
"41",2010.99726027397,"F","(30,35]",164,15,2,2
"42",2010.99726027397,"F","(35,40]",131,12,1,0
"43",2010.99726027397,"F","(40,50]",108,6,1,0
"44",2010.99726027397,"F","(50,60]",68,2,0,0
"45",2010.99726027397,"F","(60,Inf]",44,4,2,1
"46",2010.99726027397,"M","(12,16]",198,0,0,0
"47",2010.99726027397,"M","(16,20]",237,0,0,0
"48",2010.99726027397,"M","(20,25]",243,6,0,1
"49",2010.99726027397,"M","(25,30]",214,18,1,4
"50",2010.99726027397,"M","(30,35]",161,15,3,1
"51",2010.99726027397,"M","(35,40]",128,11,2,0
"52",2010.99726027397,"M","(40,50]",140,11,0,0
"53",2010.99726027397,"M","(50,60]",59,8,1,1
"54",2010.99726027397,"M","(60,Inf]",41,5,0,0
"55",2014.99726027397,"F","(12,16]",227,1,0,0
"56",2014.99726027397,"F","(16,20]",264,6,0,1
"57",2014.99726027397,"F","(20,25]",283,16,0,0
"58",2014.99726027397,"F","(25,30]",212,21,5,3
"59",2014.99726027397,"F","(30,35]",172,17,1,0
"60",2014.99726027397,"F","(35,40]",129,10,4,2
"61",2014.99726027397,"F","(40,50]",148,12,1,0
"62",2014.99726027397,"F","(50,60]",74,7,3,1
"63",2014.99726027397,"F","(60,Inf]",41,3,0,0
"64",2014.99726027397,"M","(12,16]",239,1,0,0
"65",2014.99726027397,"M","(16,20]",238,6,0,1
"66",2014.99726027397,"M","(20,25]",292,11,0,1
"67",2014.99726027397,"M","(25,30]",235,15,3,0
"68",2014.99726027397,"M","(30,35]",202,16,1,3
"69",2014.99726027397,"M","(35,40]",129,16,0,1
"70",2014.99726027397,"M","(40,50]",170,22,6,5
"71",2014.99726027397,"M","(50,60]",54,6,1,0
"72",2014.99726027397,"M","(60,Inf]",49,7,2,1
