"","YR","GENDER","AGE","ALIVE_N","ALIVE_AND_DIAG_N","ALIVE_AND_ART_N","ALIVE_AND_SEQ_N"
"1",2002.99726027397,"F","(12,16]",158,0,0,0
"2",2002.99726027397,"F","(16,20]",191,2,0,0
"3",2002.99726027397,"F","(20,25]",205,2,0,0
"4",2002.99726027397,"F","(25,30]",153,2,0,0
"5",2002.99726027397,"F","(30,35]",143,6,0,0
"6",2002.99726027397,"F","(35,40]",110,6,0,0
"7",2002.99726027397,"F","(40,50]",137,8,0,1
"8",2002.99726027397,"F","(50,60]",103,7,0,0
"9",2002.99726027397,"F","(60,Inf]",51,5,0,0
"10",2002.99726027397,"M","(12,16]",172,0,0,0
"11",2002.99726027397,"M","(16,20]",189,1,0,0
"12",2002.99726027397,"M","(20,25]",221,2,0,0
"13",2002.99726027397,"M","(25,30]",173,5,0,1
"14",2002.99726027397,"M","(30,35]",165,6,0,0
"15",2002.99726027397,"M","(35,40]",105,4,0,0
"16",2002.99726027397,"M","(40,50]",128,12,0,4
"17",2002.99726027397,"M","(50,60]",94,7,0,2
"18",2002.99726027397,"M","(60,Inf]",64,9,0,0
"19",2006.99726027397,"F","(12,16]",184,0,0,0
"20",2006.99726027397,"F","(16,20]",220,1,0,0
"21",2006.99726027397,"F","(20,25]",234,6,0,0
"22",2006.99726027397,"F","(25,30]",193,12,1,0
"23",2006.99726027397,"F","(30,35]",141,14,1,2
"24",2006.99726027397,"F","(35,40]",90,7,3,2
"25",2006.99726027397,"F","(40,50]",131,12,2,1
"26",2006.99726027397,"F","(50,60]",76,3,1,0
"27",2006.99726027397,"F","(60,Inf]",65,7,2,0
"28",2006.99726027397,"M","(12,16]",205,0,0,0
"29",2006.99726027397,"M","(16,20]",235,0,0,0
"30",2006.99726027397,"M","(20,25]",220,0,0,0
"31",2006.99726027397,"M","(25,30]",196,8,0,0
"32",2006.99726027397,"M","(30,35]",160,9,0,2
"33",2006.99726027397,"M","(35,40]",125,5,0,1
"34",2006.99726027397,"M","(40,50]",154,18,1,5
"35",2006.99726027397,"M","(50,60]",102,14,1,1
"36",2006.99726027397,"M","(60,Inf]",65,12,0,1
"37",2010.99726027397,"F","(12,16]",215,0,0,0
"38",2010.99726027397,"F","(16,20]",262,1,0,0
"39",2010.99726027397,"F","(20,25]",252,7,1,0
"40",2010.99726027397,"F","(25,30]",196,6,0,0
"41",2010.99726027397,"F","(30,35]",163,13,0,1
"42",2010.99726027397,"F","(35,40]",115,10,2,2
"43",2010.99726027397,"F","(40,50]",155,23,1,3
"44",2010.99726027397,"F","(50,60]",95,25,4,5
"45",2010.99726027397,"F","(60,Inf]",70,8,0,0
"46",2010.99726027397,"M","(12,16]",215,0,0,0
"47",2010.99726027397,"M","(16,20]",247,0,0,0
"48",2010.99726027397,"M","(20,25]",258,4,0,0
"49",2010.99726027397,"M","(25,30]",210,10,0,1
"50",2010.99726027397,"M","(30,35]",166,15,1,2
"51",2010.99726027397,"M","(35,40]",117,14,0,1
"52",2010.99726027397,"M","(40,50]",180,20,1,1
"53",2010.99726027397,"M","(50,60]",82,14,2,1
"54",2010.99726027397,"M","(60,Inf]",50,6,0,0
"55",2014.99726027397,"F","(12,16]",214,0,0,0
"56",2014.99726027397,"F","(16,20]",274,3,0,0
"57",2014.99726027397,"F","(20,25]",287,6,0,0
"58",2014.99726027397,"F","(25,30]",209,15,3,1
"59",2014.99726027397,"F","(30,35]",201,11,1,2
"60",2014.99726027397,"F","(35,40]",137,10,2,0
"61",2014.99726027397,"F","(40,50]",167,23,4,2
"62",2014.99726027397,"F","(50,60]",79,16,1,4
"63",2014.99726027397,"F","(60,Inf]",71,11,1,0
"64",2014.99726027397,"M","(12,16]",228,0,0,0
"65",2014.99726027397,"M","(16,20]",302,2,0,0
"66",2014.99726027397,"M","(20,25]",286,6,0,0
"67",2014.99726027397,"M","(25,30]",239,15,0,1
"68",2014.99726027397,"M","(30,35]",174,14,4,1
"69",2014.99726027397,"M","(35,40]",139,17,4,0
"70",2014.99726027397,"M","(40,50]",212,27,6,2
"71",2014.99726027397,"M","(50,60]",61,13,4,0
"72",2014.99726027397,"M","(60,Inf]",59,7,3,0
