"","YR","GENDER","AGE","ALIVE_N","ALIVE_AND_DIAG_N","ALIVE_AND_ART_N","ALIVE_AND_SEQ_N"
"1",2002.99726027397,"F","(12,16]",152,0,0,0
"2",2002.99726027397,"F","(16,20]",195,0,0,0
"3",2002.99726027397,"F","(20,25]",217,4,0,1
"4",2002.99726027397,"F","(25,30]",174,4,0,0
"5",2002.99726027397,"F","(30,35]",169,8,0,0
"6",2002.99726027397,"F","(35,40]",106,7,0,1
"7",2002.99726027397,"F","(40,50]",120,4,0,0
"8",2002.99726027397,"F","(50,60]",91,10,0,1
"9",2002.99726027397,"F","(60,Inf]",62,3,0,0
"10",2002.99726027397,"M","(12,16]",173,0,0,0
"11",2002.99726027397,"M","(16,20]",198,0,0,0
"12",2002.99726027397,"M","(20,25]",190,1,0,0
"13",2002.99726027397,"M","(25,30]",182,1,0,0
"14",2002.99726027397,"M","(30,35]",149,9,0,0
"15",2002.99726027397,"M","(35,40]",112,7,0,0
"16",2002.99726027397,"M","(40,50]",142,10,0,0
"17",2002.99726027397,"M","(50,60]",90,7,0,0
"18",2002.99726027397,"M","(60,Inf]",53,3,0,0
"19",2006.99726027397,"F","(12,16]",190,0,0,0
"20",2006.99726027397,"F","(16,20]",226,1,0,0
"21",2006.99726027397,"F","(20,25]",208,2,0,0
"22",2006.99726027397,"F","(25,30]",179,9,0,0
"23",2006.99726027397,"F","(30,35]",149,13,3,0
"24",2006.99726027397,"F","(35,40]",116,8,0,0
"25",2006.99726027397,"F","(40,50]",145,21,4,1
"26",2006.99726027397,"F","(50,60]",85,12,3,0
"27",2006.99726027397,"F","(60,Inf]",71,4,1,0
"28",2006.99726027397,"M","(12,16]",202,0,0,0
"29",2006.99726027397,"M","(16,20]",231,0,0,0
"30",2006.99726027397,"M","(20,25]",234,4,0,0
"31",2006.99726027397,"M","(25,30]",224,6,0,0
"32",2006.99726027397,"M","(30,35]",140,14,1,2
"33",2006.99726027397,"M","(35,40]",121,12,0,0
"34",2006.99726027397,"M","(40,50]",143,19,4,3
"35",2006.99726027397,"M","(50,60]",86,17,1,2
"36",2006.99726027397,"M","(60,Inf]",53,10,1,1
"37",2010.99726027397,"F","(12,16]",219,0,0,0
"38",2010.99726027397,"F","(16,20]",256,3,0,1
"39",2010.99726027397,"F","(20,25]",235,10,0,1
"40",2010.99726027397,"F","(25,30]",199,10,2,1
"41",2010.99726027397,"F","(30,35]",156,12,1,0
"42",2010.99726027397,"F","(35,40]",129,10,1,0
"43",2010.99726027397,"F","(40,50]",157,26,5,1
"44",2010.99726027397,"F","(50,60]",86,15,1,0
"45",2010.99726027397,"F","(60,Inf]",63,6,0,0
"46",2010.99726027397,"M","(12,16]",223,0,0,0
"47",2010.99726027397,"M","(16,20]",245,0,0,0
"48",2010.99726027397,"M","(20,25]",286,6,0,0
"49",2010.99726027397,"M","(25,30]",196,14,1,1
"50",2010.99726027397,"M","(30,35]",153,15,1,0
"51",2010.99726027397,"M","(35,40]",115,15,2,1
"52",2010.99726027397,"M","(40,50]",192,31,4,2
"53",2010.99726027397,"M","(50,60]",83,15,2,0
"54",2010.99726027397,"M","(60,Inf]",60,15,2,2
"55",2014.99726027397,"F","(12,16]",232,1,0,0
"56",2014.99726027397,"F","(16,20]",266,8,1,1
"57",2014.99726027397,"F","(20,25]",266,10,0,1
"58",2014.99726027397,"F","(25,30]",237,18,1,1
"59",2014.99726027397,"F","(30,35]",182,16,3,1
"60",2014.99726027397,"F","(35,40]",119,15,1,1
"61",2014.99726027397,"F","(40,50]",161,20,2,0
"62",2014.99726027397,"F","(50,60]",80,15,4,1
"63",2014.99726027397,"F","(60,Inf]",64,9,1,1
"64",2014.99726027397,"M","(12,16]",212,0,0,0
"65",2014.99726027397,"M","(16,20]",296,2,0,0
"66",2014.99726027397,"M","(20,25]",290,3,0,1
"67",2014.99726027397,"M","(25,30]",230,13,2,1
"68",2014.99726027397,"M","(30,35]",203,14,4,1
"69",2014.99726027397,"M","(35,40]",161,23,3,1
"70",2014.99726027397,"M","(40,50]",214,34,9,3
"71",2014.99726027397,"M","(50,60]",68,11,1,0
"72",2014.99726027397,"M","(60,Inf]",63,10,4,2
