"","YR","GENDER","AGE","ALIVE_N","ALIVE_AND_DIAG_N","ALIVE_AND_ART_N","ALIVE_AND_SEQ_N"
"1",2002.99726027397,"F","(12,16]",149,0,0,0
"2",2002.99726027397,"F","(16,20]",172,1,0,0
"3",2002.99726027397,"F","(20,25]",212,4,0,0
"4",2002.99726027397,"F","(25,30]",173,7,0,1
"5",2002.99726027397,"F","(30,35]",115,3,0,0
"6",2002.99726027397,"F","(35,40]",99,10,0,0
"7",2002.99726027397,"F","(40,50]",110,6,0,1
"8",2002.99726027397,"F","(50,60]",79,8,0,1
"9",2002.99726027397,"F","(60,Inf]",59,7,0,0
"10",2002.99726027397,"M","(12,16]",157,0,0,0
"11",2002.99726027397,"M","(16,20]",211,0,0,0
"12",2002.99726027397,"M","(20,25]",188,1,0,0
"13",2002.99726027397,"M","(25,30]",156,4,0,1
"14",2002.99726027397,"M","(30,35]",146,10,0,1
"15",2002.99726027397,"M","(35,40]",88,6,0,0
"16",2002.99726027397,"M","(40,50]",111,6,0,0
"17",2002.99726027397,"M","(50,60]",70,5,0,2
"18",2002.99726027397,"M","(60,Inf]",44,6,0,1
"19",2006.99726027397,"F","(12,16]",195,0,0,0
"20",2006.99726027397,"F","(16,20]",231,2,0,0
"21",2006.99726027397,"F","(20,25]",233,6,0,0
"22",2006.99726027397,"F","(25,30]",173,13,0,0
"23",2006.99726027397,"F","(30,35]",131,9,2,0
"24",2006.99726027397,"F","(35,40]",100,10,1,1
"25",2006.99726027397,"F","(40,50]",136,13,1,1
"26",2006.99726027397,"F","(50,60]",68,9,1,2
"27",2006.99726027397,"F","(60,Inf]",44,7,1,0
"28",2006.99726027397,"M","(12,16]",159,0,0,0
"29",2006.99726027397,"M","(16,20]",231,0,0,0
"30",2006.99726027397,"M","(20,25]",231,3,0,1
"31",2006.99726027397,"M","(25,30]",157,10,1,0
"32",2006.99726027397,"M","(30,35]",137,8,0,1
"33",2006.99726027397,"M","(35,40]",116,7,0,0
"34",2006.99726027397,"M","(40,50]",110,14,1,2
"35",2006.99726027397,"M","(50,60]",68,4,0,2
"36",2006.99726027397,"M","(60,Inf]",44,7,0,0
"37",2010.99726027397,"F","(12,16]",193,0,0,0
"38",2010.99726027397,"F","(16,20]",237,2,0,0
"39",2010.99726027397,"F","(20,25]",235,6,0,0
"40",2010.99726027397,"F","(25,30]",211,16,2,0
"41",2010.99726027397,"F","(30,35]",170,15,2,1
"42",2010.99726027397,"F","(35,40]",121,17,3,2
"43",2010.99726027397,"F","(40,50]",136,9,2,1
"44",2010.99726027397,"F","(50,60]",66,3,1,0
"45",2010.99726027397,"F","(60,Inf]",48,4,1,1
"46",2010.99726027397,"M","(12,16]",185,0,0,0
"47",2010.99726027397,"M","(16,20]",246,0,0,0
"48",2010.99726027397,"M","(20,25]",275,6,0,1
"49",2010.99726027397,"M","(25,30]",201,10,0,2
"50",2010.99726027397,"M","(30,35]",165,13,0,0
"51",2010.99726027397,"M","(35,40]",128,11,2,1
"52",2010.99726027397,"M","(40,50]",121,18,2,2
"53",2010.99726027397,"M","(50,60]",70,8,1,1
"54",2010.99726027397,"M","(60,Inf]",36,2,0,0
"55",2014.99726027397,"F","(12,16]",207,1,0,0
"56",2014.99726027397,"F","(16,20]",263,7,0,0
"57",2014.99726027397,"F","(20,25]",266,18,1,3
"58",2014.99726027397,"F","(25,30]",225,27,3,1
"59",2014.99726027397,"F","(30,35]",181,18,0,1
"60",2014.99726027397,"F","(35,40]",128,12,1,0
"61",2014.99726027397,"F","(40,50]",136,23,5,2
"62",2014.99726027397,"F","(50,60]",75,9,2,2
"63",2014.99726027397,"F","(60,Inf]",38,2,0,1
"64",2014.99726027397,"M","(12,16]",243,0,0,0
"65",2014.99726027397,"M","(16,20]",274,1,0,0
"66",2014.99726027397,"M","(20,25]",290,9,1,0
"67",2014.99726027397,"M","(25,30]",218,10,1,3
"68",2014.99726027397,"M","(30,35]",188,23,0,1
"69",2014.99726027397,"M","(35,40]",145,21,5,3
"70",2014.99726027397,"M","(40,50]",165,19,4,3
"71",2014.99726027397,"M","(50,60]",64,8,1,0
"72",2014.99726027397,"M","(60,Inf]",52,10,2,0
