"","YR","GENDER","AGE","ALIVE_N","ALIVE_AND_DIAG_N","ALIVE_AND_ART_N","ALIVE_AND_SEQ_N"
"1",2002.99726027397,"F","(12,16]",182,0,0,0
"2",2002.99726027397,"F","(16,20]",199,1,0,0
"3",2002.99726027397,"F","(20,25]",185,9,0,2
"4",2002.99726027397,"F","(25,30]",153,4,0,2
"5",2002.99726027397,"F","(30,35]",114,8,0,0
"6",2002.99726027397,"F","(35,40]",80,4,0,0
"7",2002.99726027397,"F","(40,50]",119,11,0,3
"8",2002.99726027397,"F","(50,60]",77,5,0,0
"9",2002.99726027397,"F","(60,Inf]",45,4,0,0
"10",2002.99726027397,"M","(12,16]",158,0,0,0
"11",2002.99726027397,"M","(16,20]",196,0,0,0
"12",2002.99726027397,"M","(20,25]",205,4,0,1
"13",2002.99726027397,"M","(25,30]",168,7,0,0
"14",2002.99726027397,"M","(30,35]",122,5,0,0
"15",2002.99726027397,"M","(35,40]",88,2,0,0
"16",2002.99726027397,"M","(40,50]",100,3,0,0
"17",2002.99726027397,"M","(50,60]",70,3,0,0
"18",2002.99726027397,"M","(60,Inf]",50,3,0,0
"19",2006.99726027397,"F","(12,16]",181,0,0,0
"20",2006.99726027397,"F","(16,20]",200,4,0,1
"21",2006.99726027397,"F","(20,25]",225,5,0,0
"22",2006.99726027397,"F","(25,30]",195,13,1,0
"23",2006.99726027397,"F","(30,35]",145,8,3,0
"24",2006.99726027397,"F","(35,40]",101,10,1,2
"25",2006.99726027397,"F","(40,50]",114,14,2,2
"26",2006.99726027397,"F","(50,60]",65,9,2,2
"27",2006.99726027397,"F","(60,Inf]",34,2,0,0
"28",2006.99726027397,"M","(12,16]",175,0,0,0
"29",2006.99726027397,"M","(16,20]",218,1,0,0
"30",2006.99726027397,"M","(20,25]",225,1,0,0
"31",2006.99726027397,"M","(25,30]",187,10,2,3
"32",2006.99726027397,"M","(30,35]",145,12,1,1
"33",2006.99726027397,"M","(35,40]",112,13,0,0
"34",2006.99726027397,"M","(40,50]",107,11,2,1
"35",2006.99726027397,"M","(50,60]",61,11,2,2
"36",2006.99726027397,"M","(60,Inf]",44,6,0,2
"37",2010.99726027397,"F","(12,16]",192,1,0,0
"38",2010.99726027397,"F","(16,20]",256,3,0,0
"39",2010.99726027397,"F","(20,25]",272,9,1,1
"40",2010.99726027397,"F","(25,30]",190,13,0,0
"41",2010.99726027397,"F","(30,35]",135,10,3,1
"42",2010.99726027397,"F","(35,40]",104,8,2,0
"43",2010.99726027397,"F","(40,50]",117,7,2,0
"44",2010.99726027397,"F","(50,60]",60,6,0,1
"45",2010.99726027397,"F","(60,Inf]",45,5,1,0
"46",2010.99726027397,"M","(12,16]",214,0,0,0
"47",2010.99726027397,"M","(16,20]",243,0,0,0
"48",2010.99726027397,"M","(20,25]",274,4,0,0
"49",2010.99726027397,"M","(25,30]",199,9,1,2
"50",2010.99726027397,"M","(30,35]",141,15,1,3
"51",2010.99726027397,"M","(35,40]",106,11,0,1
"52",2010.99726027397,"M","(40,50]",144,16,5,3
"53",2010.99726027397,"M","(50,60]",59,14,2,2
"54",2010.99726027397,"M","(60,Inf]",47,5,0,0
"55",2014.99726027397,"F","(12,16]",221,0,0,0
"56",2014.99726027397,"F","(16,20]",256,5,0,2
"57",2014.99726027397,"F","(20,25]",286,8,1,1
"58",2014.99726027397,"F","(25,30]",230,22,4,1
"59",2014.99726027397,"F","(30,35]",152,15,3,0
"60",2014.99726027397,"F","(35,40]",130,14,4,1
"61",2014.99726027397,"F","(40,50]",137,11,1,3
"62",2014.99726027397,"F","(50,60]",70,16,5,2
"63",2014.99726027397,"F","(60,Inf]",46,4,1,1
"64",2014.99726027397,"M","(12,16]",206,0,0,0
"65",2014.99726027397,"M","(16,20]",282,4,0,0
"66",2014.99726027397,"M","(20,25]",303,11,2,0
"67",2014.99726027397,"M","(25,30]",214,9,0,1
"68",2014.99726027397,"M","(30,35]",200,23,6,5
"69",2014.99726027397,"M","(35,40]",132,16,2,2
"70",2014.99726027397,"M","(40,50]",150,29,5,4
"71",2014.99726027397,"M","(50,60]",44,6,1,1
"72",2014.99726027397,"M","(60,Inf]",43,6,2,0
