"","YR","GENDER","AGE","ALIVE_N","ALIVE_AND_DIAG_N","ALIVE_AND_ART_N","ALIVE_AND_SEQ_N"
"1",2002.99726027397,"F","(12,16]",196,0,0,0
"2",2002.99726027397,"F","(16,20]",175,1,0,0
"3",2002.99726027397,"F","(20,25]",208,5,0,0
"4",2002.99726027397,"F","(25,30]",185,6,0,1
"5",2002.99726027397,"F","(30,35]",162,2,0,1
"6",2002.99726027397,"F","(35,40]",93,4,0,2
"7",2002.99726027397,"F","(40,50]",140,13,0,1
"8",2002.99726027397,"F","(50,60]",95,9,0,1
"9",2002.99726027397,"F","(60,Inf]",63,5,0,2
"10",2002.99726027397,"M","(12,16]",174,0,0,0
"11",2002.99726027397,"M","(16,20]",191,0,0,0
"12",2002.99726027397,"M","(20,25]",191,3,0,1
"13",2002.99726027397,"M","(25,30]",155,6,0,4
"14",2002.99726027397,"M","(30,35]",143,5,0,1
"15",2002.99726027397,"M","(35,40]",107,5,0,2
"16",2002.99726027397,"M","(40,50]",133,6,0,0
"17",2002.99726027397,"M","(50,60]",104,10,0,4
"18",2002.99726027397,"M","(60,Inf]",47,6,0,0
"19",2006.99726027397,"F","(12,16]",189,0,0,0
"20",2006.99726027397,"F","(16,20]",214,2,0,0
"21",2006.99726027397,"F","(20,25]",216,3,0,0
"22",2006.99726027397,"F","(25,30]",179,6,0,2
"23",2006.99726027397,"F","(30,35]",158,14,1,0
"24",2006.99726027397,"F","(35,40]",114,8,0,0
"25",2006.99726027397,"F","(40,50]",145,18,2,0
"26",2006.99726027397,"F","(50,60]",96,13,2,3
"27",2006.99726027397,"F","(60,Inf]",68,5,0,0
"28",2006.99726027397,"M","(12,16]",194,0,0,0
"29",2006.99726027397,"M","(16,20]",229,0,0,0
"30",2006.99726027397,"M","(20,25]",206,1,0,1
"31",2006.99726027397,"M","(25,30]",192,3,0,0
"32",2006.99726027397,"M","(30,35]",170,13,1,0
"33",2006.99726027397,"M","(35,40]",145,17,3,4
"34",2006.99726027397,"M","(40,50]",146,16,1,2
"35",2006.99726027397,"M","(50,60]",83,10,1,0
"36",2006.99726027397,"M","(60,Inf]",52,10,2,0
"37",2010.99726027397,"F","(12,16]",227,0,0,0
"38",2010.99726027397,"F","(16,20]",233,2,0,0
"39",2010.99726027397,"F","(20,25]",242,8,0,0
"40",2010.99726027397,"F","(25,30]",208,9,0,0
"41",2010.99726027397,"F","(30,35]",153,16,1,2
"42",2010.99726027397,"F","(35,40]",131,20,0,3
"43",2010.99726027397,"F","(40,50]",154,20,3,2
"44",2010.99726027397,"F","(50,60]",81,11,0,2
"45",2010.99726027397,"F","(60,Inf]",71,11,0,0
"46",2010.99726027397,"M","(12,16]",202,0,0,0
"47",2010.99726027397,"M","(16,20]",251,0,0,0
"48",2010.99726027397,"M","(20,25]",289,8,0,3
"49",2010.99726027397,"M","(25,30]",195,7,1,0
"50",2010.99726027397,"M","(30,35]",173,14,1,2
"51",2010.99726027397,"M","(35,40]",121,17,2,1
"52",2010.99726027397,"M","(40,50]",176,12,0,2
"53",2010.99726027397,"M","(50,60]",81,10,3,4
"54",2010.99726027397,"M","(60,Inf]",60,10,2,1
"55",2014.99726027397,"F","(12,16]",219,0,0,0
"56",2014.99726027397,"F","(16,20]",265,3,0,1
"57",2014.99726027397,"F","(20,25]",310,14,1,3
"58",2014.99726027397,"F","(25,30]",218,17,4,5
"59",2014.99726027397,"F","(30,35]",164,11,0,4
"60",2014.99726027397,"F","(35,40]",134,17,1,3
"61",2014.99726027397,"F","(40,50]",191,30,3,4
"62",2014.99726027397,"F","(50,60]",71,14,1,2
"63",2014.99726027397,"F","(60,Inf]",64,12,5,1
"64",2014.99726027397,"M","(12,16]",247,0,0,0
"65",2014.99726027397,"M","(16,20]",258,2,0,0
"66",2014.99726027397,"M","(20,25]",334,7,1,1
"67",2014.99726027397,"M","(25,30]",232,9,0,1
"68",2014.99726027397,"M","(30,35]",187,15,4,4
"69",2014.99726027397,"M","(35,40]",131,24,5,6
"70",2014.99726027397,"M","(40,50]",177,22,4,5
"71",2014.99726027397,"M","(50,60]",86,10,2,1
"72",2014.99726027397,"M","(60,Inf]",51,9,4,2
