"","YR","GENDER","AGE","ALIVE_N","ALIVE_AND_DIAG_N","ALIVE_AND_ART_N","ALIVE_AND_SEQ_N"
"1",2002.99726027397,"F","(12,16]",152,0,0,0
"2",2002.99726027397,"F","(16,20]",185,0,0,0
"3",2002.99726027397,"F","(20,25]",229,8,0,1
"4",2002.99726027397,"F","(25,30]",164,6,0,1
"5",2002.99726027397,"F","(30,35]",111,7,0,0
"6",2002.99726027397,"F","(35,40]",97,3,0,1
"7",2002.99726027397,"F","(40,50]",110,5,0,2
"8",2002.99726027397,"F","(50,60]",83,1,0,0
"9",2002.99726027397,"F","(60,Inf]",46,3,0,0
"10",2002.99726027397,"M","(12,16]",160,0,0,0
"11",2002.99726027397,"M","(16,20]",190,1,0,0
"12",2002.99726027397,"M","(20,25]",190,2,0,0
"13",2002.99726027397,"M","(25,30]",146,7,0,2
"14",2002.99726027397,"M","(30,35]",130,5,0,0
"15",2002.99726027397,"M","(35,40]",101,6,0,1
"16",2002.99726027397,"M","(40,50]",122,6,0,0
"17",2002.99726027397,"M","(50,60]",87,6,0,0
"18",2002.99726027397,"M","(60,Inf]",36,3,0,1
"19",2006.99726027397,"F","(12,16]",181,0,0,0
"20",2006.99726027397,"F","(16,20]",202,2,0,0
"21",2006.99726027397,"F","(20,25]",221,9,2,2
"22",2006.99726027397,"F","(25,30]",208,17,1,1
"23",2006.99726027397,"F","(30,35]",141,13,0,4
"24",2006.99726027397,"F","(35,40]",113,9,2,0
"25",2006.99726027397,"F","(40,50]",122,14,2,3
"26",2006.99726027397,"F","(50,60]",57,6,1,0
"27",2006.99726027397,"F","(60,Inf]",28,1,0,0
"28",2006.99726027397,"M","(12,16]",182,0,0,0
"29",2006.99726027397,"M","(16,20]",220,0,0,0
"30",2006.99726027397,"M","(20,25]",235,6,1,0
"31",2006.99726027397,"M","(25,30]",166,10,0,2
"32",2006.99726027397,"M","(30,35]",146,9,1,0
"33",2006.99726027397,"M","(35,40]",102,7,3,1
"34",2006.99726027397,"M","(40,50]",148,16,3,1
"35",2006.99726027397,"M","(50,60]",64,11,0,2
"36",2006.99726027397,"M","(60,Inf]",28,6,1,1
"37",2010.99726027397,"F","(12,16]",206,1,0,0
"38",2010.99726027397,"F","(16,20]",241,1,0,0
"39",2010.99726027397,"F","(20,25]",238,6,0,3
"40",2010.99726027397,"F","(25,30]",220,21,1,4
"41",2010.99726027397,"F","(30,35]",146,15,2,0
"42",2010.99726027397,"F","(35,40]",118,8,3,0
"43",2010.99726027397,"F","(40,50]",127,17,0,2
"44",2010.99726027397,"F","(50,60]",63,9,0,1
"45",2010.99726027397,"F","(60,Inf]",41,2,0,0
"46",2010.99726027397,"M","(12,16]",189,0,0,0
"47",2010.99726027397,"M","(16,20]",248,0,0,0
"48",2010.99726027397,"M","(20,25]",265,4,0,0
"49",2010.99726027397,"M","(25,30]",196,7,1,1
"50",2010.99726027397,"M","(30,35]",154,14,1,1
"51",2010.99726027397,"M","(35,40]",120,13,0,1
"52",2010.99726027397,"M","(40,50]",151,13,2,1
"53",2010.99726027397,"M","(50,60]",61,9,1,3
"54",2010.99726027397,"M","(60,Inf]",60,12,5,2
"55",2014.99726027397,"F","(12,16]",204,0,0,0
"56",2014.99726027397,"F","(16,20]",249,5,0,0
"57",2014.99726027397,"F","(20,25]",302,14,2,0
"58",2014.99726027397,"F","(25,30]",227,27,5,0
"59",2014.99726027397,"F","(30,35]",187,20,6,1
"60",2014.99726027397,"F","(35,40]",129,11,2,1
"61",2014.99726027397,"F","(40,50]",173,17,3,3
"62",2014.99726027397,"F","(50,60]",71,9,1,0
"63",2014.99726027397,"F","(60,Inf]",45,3,2,0
"64",2014.99726027397,"M","(12,16]",224,0,0,0
"65",2014.99726027397,"M","(16,20]",252,1,0,0
"66",2014.99726027397,"M","(20,25]",273,7,1,0
"67",2014.99726027397,"M","(25,30]",267,14,3,0
"68",2014.99726027397,"M","(30,35]",160,21,1,2
"69",2014.99726027397,"M","(35,40]",129,9,2,0
"70",2014.99726027397,"M","(40,50]",160,19,2,2
"71",2014.99726027397,"M","(50,60]",66,3,0,0
"72",2014.99726027397,"M","(60,Inf]",40,9,2,2
