"","YR","GENDER","AGE","ALIVE_N","ALIVE_AND_DIAG_N","ALIVE_AND_ART_N","ALIVE_AND_SEQ_N"
"1",2002.99726027397,"F","(12,16]",199,0,0,0
"2",2002.99726027397,"F","(16,20]",189,1,0,0
"3",2002.99726027397,"F","(20,25]",195,2,0,1
"4",2002.99726027397,"F","(25,30]",167,7,0,1
"5",2002.99726027397,"F","(30,35]",159,5,0,0
"6",2002.99726027397,"F","(35,40]",104,5,0,0
"7",2002.99726027397,"F","(40,50]",150,8,0,1
"8",2002.99726027397,"F","(50,60]",85,10,0,3
"9",2002.99726027397,"F","(60,Inf]",51,3,0,1
"10",2002.99726027397,"M","(12,16]",179,0,0,0
"11",2002.99726027397,"M","(16,20]",189,0,0,0
"12",2002.99726027397,"M","(20,25]",200,0,0,0
"13",2002.99726027397,"M","(25,30]",178,4,0,1
"14",2002.99726027397,"M","(30,35]",150,6,0,0
"15",2002.99726027397,"M","(35,40]",97,4,0,1
"16",2002.99726027397,"M","(40,50]",134,5,0,0
"17",2002.99726027397,"M","(50,60]",95,8,0,2
"18",2002.99726027397,"M","(60,Inf]",54,6,0,1
"19",2006.99726027397,"F","(12,16]",170,0,0,0
"20",2006.99726027397,"F","(16,20]",223,0,0,0
"21",2006.99726027397,"F","(20,25]",214,6,0,0
"22",2006.99726027397,"F","(25,30]",194,8,0,1
"23",2006.99726027397,"F","(30,35]",175,16,3,2
"24",2006.99726027397,"F","(35,40]",138,16,1,2
"25",2006.99726027397,"F","(40,50]",143,19,3,3
"26",2006.99726027397,"F","(50,60]",106,9,0,1
"27",2006.99726027397,"F","(60,Inf]",69,8,0,2
"28",2006.99726027397,"M","(12,16]",187,0,0,0
"29",2006.99726027397,"M","(16,20]",215,0,0,0
"30",2006.99726027397,"M","(20,25]",214,1,0,1
"31",2006.99726027397,"M","(25,30]",180,5,0,2
"32",2006.99726027397,"M","(30,35]",156,6,0,0
"33",2006.99726027397,"M","(35,40]",132,9,1,3
"34",2006.99726027397,"M","(40,50]",157,13,0,2
"35",2006.99726027397,"M","(50,60]",94,13,0,1
"36",2006.99726027397,"M","(60,Inf]",36,5,0,1
"37",2010.99726027397,"F","(12,16]",205,0,0,0
"38",2010.99726027397,"F","(16,20]",228,2,0,0
"39",2010.99726027397,"F","(20,25]",261,8,0,3
"40",2010.99726027397,"F","(25,30]",200,11,1,2
"41",2010.99726027397,"F","(30,35]",152,16,0,2
"42",2010.99726027397,"F","(35,40]",129,14,0,2
"43",2010.99726027397,"F","(40,50]",168,27,3,3
"44",2010.99726027397,"F","(50,60]",92,12,0,0
"45",2010.99726027397,"F","(60,Inf]",51,3,0,1
"46",2010.99726027397,"M","(12,16]",231,0,0,0
"47",2010.99726027397,"M","(16,20]",246,0,0,0
"48",2010.99726027397,"M","(20,25]",284,6,0,1
"49",2010.99726027397,"M","(25,30]",196,10,1,2
"50",2010.99726027397,"M","(30,35]",150,9,2,2
"51",2010.99726027397,"M","(35,40]",131,11,0,2
"52",2010.99726027397,"M","(40,50]",176,24,1,2
"53",2010.99726027397,"M","(50,60]",82,17,0,3
"54",2010.99726027397,"M","(60,Inf]",71,15,3,2
"55",2014.99726027397,"F","(12,16]",239,1,0,0
"56",2014.99726027397,"F","(16,20]",265,6,0,0
"57",2014.99726027397,"F","(20,25]",304,10,1,3
"58",2014.99726027397,"F","(25,30]",236,19,2,3
"59",2014.99726027397,"F","(30,35]",164,17,5,2
"60",2014.99726027397,"F","(35,40]",122,8,3,1
"61",2014.99726027397,"F","(40,50]",188,24,2,3
"62",2014.99726027397,"F","(50,60]",89,15,2,1
"63",2014.99726027397,"F","(60,Inf]",62,5,1,1
"64",2014.99726027397,"M","(12,16]",204,0,0,0
"65",2014.99726027397,"M","(16,20]",265,3,0,1
"66",2014.99726027397,"M","(20,25]",307,8,1,1
"67",2014.99726027397,"M","(25,30]",245,18,0,2
"68",2014.99726027397,"M","(30,35]",196,16,1,2
"69",2014.99726027397,"M","(35,40]",140,23,3,3
"70",2014.99726027397,"M","(40,50]",191,29,6,4
"71",2014.99726027397,"M","(50,60]",64,10,4,2
"72",2014.99726027397,"M","(60,Inf]",63,6,5,4
