"","YR","GENDER","AGE","ALIVE_N","ALIVE_AND_DIAG_N","ALIVE_AND_ART_N","ALIVE_AND_SEQ_N"
"1",2002.99726027397,"F","(12,16]",150,0,0,0
"2",2002.99726027397,"F","(16,20]",163,1,0,0
"3",2002.99726027397,"F","(20,25]",257,9,0,3
"4",2002.99726027397,"F","(25,30]",183,8,0,0
"5",2002.99726027397,"F","(30,35]",118,6,0,1
"6",2002.99726027397,"F","(35,40]",96,5,0,1
"7",2002.99726027397,"F","(40,50]",110,7,0,1
"8",2002.99726027397,"F","(50,60]",61,7,0,4
"9",2002.99726027397,"F","(60,Inf]",44,2,0,0
"10",2002.99726027397,"M","(12,16]",154,0,0,0
"11",2002.99726027397,"M","(16,20]",214,1,0,0
"12",2002.99726027397,"M","(20,25]",191,3,0,3
"13",2002.99726027397,"M","(25,30]",139,4,0,3
"14",2002.99726027397,"M","(30,35]",128,10,0,3
"15",2002.99726027397,"M","(35,40]",86,4,0,1
"16",2002.99726027397,"M","(40,50]",116,11,0,0
"17",2002.99726027397,"M","(50,60]",62,2,0,0
"18",2002.99726027397,"M","(60,Inf]",39,4,0,1
"19",2006.99726027397,"F","(12,16]",183,0,0,0
"20",2006.99726027397,"F","(16,20]",216,1,0,0
"21",2006.99726027397,"F","(20,25]",182,5,0,1
"22",2006.99726027397,"F","(25,30]",198,11,0,1
"23",2006.99726027397,"F","(30,35]",124,7,0,1
"24",2006.99726027397,"F","(35,40]",110,9,3,2
"25",2006.99726027397,"F","(40,50]",122,8,0,2
"26",2006.99726027397,"F","(50,60]",68,6,1,2
"27",2006.99726027397,"F","(60,Inf]",52,6,2,1
"28",2006.99726027397,"M","(12,16]",180,0,0,0
"29",2006.99726027397,"M","(16,20]",231,0,0,0
"30",2006.99726027397,"M","(20,25]",209,5,0,1
"31",2006.99726027397,"M","(25,30]",179,6,0,2
"32",2006.99726027397,"M","(30,35]",181,14,1,2
"33",2006.99726027397,"M","(35,40]",90,11,1,3
"34",2006.99726027397,"M","(40,50]",104,17,2,5
"35",2006.99726027397,"M","(50,60]",70,12,1,2
"36",2006.99726027397,"M","(60,Inf]",35,4,1,0
"37",2010.99726027397,"F","(12,16]",198,0,0,0
"38",2010.99726027397,"F","(16,20]",242,0,0,0
"39",2010.99726027397,"F","(20,25]",241,10,0,3
"40",2010.99726027397,"F","(25,30]",204,12,1,2
"41",2010.99726027397,"F","(30,35]",143,18,4,3
"42",2010.99726027397,"F","(35,40]",100,9,1,1
"43",2010.99726027397,"F","(40,50]",136,15,7,5
"44",2010.99726027397,"F","(50,60]",63,9,2,1
"45",2010.99726027397,"F","(60,Inf]",35,4,1,1
"46",2010.99726027397,"M","(12,16]",197,0,0,0
"47",2010.99726027397,"M","(16,20]",246,0,0,0
"48",2010.99726027397,"M","(20,25]",266,6,0,0
"49",2010.99726027397,"M","(25,30]",193,14,0,1
"50",2010.99726027397,"M","(30,35]",157,14,2,2
"51",2010.99726027397,"M","(35,40]",124,20,0,5
"52",2010.99726027397,"M","(40,50]",140,16,2,2
"53",2010.99726027397,"M","(50,60]",63,7,1,1
"54",2010.99726027397,"M","(60,Inf]",50,2,0,0
"55",2014.99726027397,"F","(12,16]",230,0,0,0
"56",2014.99726027397,"F","(16,20]",268,6,0,0
"57",2014.99726027397,"F","(20,25]",285,17,3,1
"58",2014.99726027397,"F","(25,30]",234,22,2,5
"59",2014.99726027397,"F","(30,35]",172,18,3,7
"60",2014.99726027397,"F","(35,40]",118,7,1,3
"61",2014.99726027397,"F","(40,50]",153,19,6,4
"62",2014.99726027397,"F","(50,60]",62,7,1,0
"63",2014.99726027397,"F","(60,Inf]",34,1,1,1
"64",2014.99726027397,"M","(12,16]",194,0,0,0
"65",2014.99726027397,"M","(16,20]",262,2,0,0
"66",2014.99726027397,"M","(20,25]",266,13,0,3
"67",2014.99726027397,"M","(25,30]",238,15,0,2
"68",2014.99726027397,"M","(30,35]",164,10,1,0
"69",2014.99726027397,"M","(35,40]",154,17,3,3
"70",2014.99726027397,"M","(40,50]",154,25,9,5
"71",2014.99726027397,"M","(50,60]",72,8,2,0
"72",2014.99726027397,"M","(60,Inf]",42,5,2,1
