"","YR","GENDER","AGE","ALIVE_N","ALIVE_AND_DIAG_N","ALIVE_AND_ART_N","ALIVE_AND_SEQ_N"
"1",2002.99726027397,"F","(12,16]",164,0,0,0
"2",2002.99726027397,"F","(16,20]",198,3,0,0
"3",2002.99726027397,"F","(20,25]",217,8,0,1
"4",2002.99726027397,"F","(25,30]",157,6,0,0
"5",2002.99726027397,"F","(30,35]",129,6,0,2
"6",2002.99726027397,"F","(35,40]",100,4,0,1
"7",2002.99726027397,"F","(40,50]",117,8,0,2
"8",2002.99726027397,"F","(50,60]",61,7,0,5
"9",2002.99726027397,"F","(60,Inf]",31,2,0,0
"10",2002.99726027397,"M","(12,16]",162,0,0,0
"11",2002.99726027397,"M","(16,20]",157,0,0,0
"12",2002.99726027397,"M","(20,25]",234,6,0,1
"13",2002.99726027397,"M","(25,30]",154,7,0,2
"14",2002.99726027397,"M","(30,35]",128,2,0,0
"15",2002.99726027397,"M","(35,40]",84,3,0,2
"16",2002.99726027397,"M","(40,50]",126,7,0,3
"17",2002.99726027397,"M","(50,60]",83,6,0,1
"18",2002.99726027397,"M","(60,Inf]",37,5,0,1
"19",2006.99726027397,"F","(12,16]",172,0,0,0
"20",2006.99726027397,"F","(16,20]",254,0,0,0
"21",2006.99726027397,"F","(20,25]",228,2,0,0
"22",2006.99726027397,"F","(25,30]",185,13,1,4
"23",2006.99726027397,"F","(30,35]",153,9,0,1
"24",2006.99726027397,"F","(35,40]",110,12,1,3
"25",2006.99726027397,"F","(40,50]",130,13,0,2
"26",2006.99726027397,"F","(50,60]",64,6,4,2
"27",2006.99726027397,"F","(60,Inf]",43,4,1,0
"28",2006.99726027397,"M","(12,16]",180,0,0,0
"29",2006.99726027397,"M","(16,20]",205,0,0,0
"30",2006.99726027397,"M","(20,25]",190,1,0,0
"31",2006.99726027397,"M","(25,30]",170,7,0,2
"32",2006.99726027397,"M","(30,35]",159,12,2,2
"33",2006.99726027397,"M","(35,40]",82,7,2,1
"34",2006.99726027397,"M","(40,50]",118,12,1,3
"35",2006.99726027397,"M","(50,60]",71,8,1,2
"36",2006.99726027397,"M","(60,Inf]",50,2,0,0
"37",2010.99726027397,"F","(12,16]",216,0,0,0
"38",2010.99726027397,"F","(16,20]",221,3,0,2
"39",2010.99726027397,"F","(20,25]",249,14,0,2
"40",2010.99726027397,"F","(25,30]",214,9,0,2
"41",2010.99726027397,"F","(30,35]",161,17,2,5
"42",2010.99726027397,"F","(35,40]",110,9,2,2
"43",2010.99726027397,"F","(40,50]",129,12,2,4
"44",2010.99726027397,"F","(50,60]",52,6,3,1
"45",2010.99726027397,"F","(60,Inf]",46,5,1,1
"46",2010.99726027397,"M","(12,16]",204,0,0,0
"47",2010.99726027397,"M","(16,20]",250,0,0,0
"48",2010.99726027397,"M","(20,25]",249,4,0,1
"49",2010.99726027397,"M","(25,30]",205,8,0,0
"50",2010.99726027397,"M","(30,35]",149,19,2,3
"51",2010.99726027397,"M","(35,40]",122,14,1,4
"52",2010.99726027397,"M","(40,50]",146,11,3,3
"53",2010.99726027397,"M","(50,60]",79,9,1,1
"54",2010.99726027397,"M","(60,Inf]",42,12,1,1
"55",2014.99726027397,"F","(12,16]",227,0,0,0
"56",2014.99726027397,"F","(16,20]",279,7,0,2
"57",2014.99726027397,"F","(20,25]",269,15,1,3
"58",2014.99726027397,"F","(25,30]",235,15,4,2
"59",2014.99726027397,"F","(30,35]",156,13,3,2
"60",2014.99726027397,"F","(35,40]",134,13,3,0
"61",2014.99726027397,"F","(40,50]",144,27,4,9
"62",2014.99726027397,"F","(50,60]",78,11,1,1
"63",2014.99726027397,"F","(60,Inf]",40,2,1,0
"64",2014.99726027397,"M","(12,16]",228,0,0,0
"65",2014.99726027397,"M","(16,20]",246,4,0,0
"66",2014.99726027397,"M","(20,25]",297,10,0,1
"67",2014.99726027397,"M","(25,30]",223,12,2,1
"68",2014.99726027397,"M","(30,35]",174,10,1,3
"69",2014.99726027397,"M","(35,40]",147,19,3,2
"70",2014.99726027397,"M","(40,50]",170,18,5,1
"71",2014.99726027397,"M","(50,60]",68,12,4,1
"72",2014.99726027397,"M","(60,Inf]",43,4,1,1
