"","YR","GENDER","AGE","ALIVE_N","ALIVE_AND_DIAG_N","ALIVE_AND_ART_N","ALIVE_AND_SEQ_N"
"1",2002.99726027397,"F","(12,16]",153,0,0,0
"2",2002.99726027397,"F","(16,20]",178,2,0,0
"3",2002.99726027397,"F","(20,25]",210,4,0,1
"4",2002.99726027397,"F","(25,30]",152,7,0,1
"5",2002.99726027397,"F","(30,35]",116,4,0,0
"6",2002.99726027397,"F","(35,40]",89,5,0,0
"7",2002.99726027397,"F","(40,50]",101,8,0,3
"8",2002.99726027397,"F","(50,60]",62,5,0,0
"9",2002.99726027397,"F","(60,Inf]",54,4,0,0
"10",2002.99726027397,"M","(12,16]",150,0,0,0
"11",2002.99726027397,"M","(16,20]",191,1,0,0
"12",2002.99726027397,"M","(20,25]",210,5,0,1
"13",2002.99726027397,"M","(25,30]",153,5,0,0
"14",2002.99726027397,"M","(30,35]",133,4,0,0
"15",2002.99726027397,"M","(35,40]",98,7,0,0
"16",2002.99726027397,"M","(40,50]",128,6,0,2
"17",2002.99726027397,"M","(50,60]",96,6,0,1
"18",2002.99726027397,"M","(60,Inf]",37,4,0,0
"19",2006.99726027397,"F","(12,16]",181,0,0,0
"20",2006.99726027397,"F","(16,20]",207,3,0,0
"21",2006.99726027397,"F","(20,25]",225,8,0,1
"22",2006.99726027397,"F","(25,30]",201,15,2,1
"23",2006.99726027397,"F","(30,35]",137,20,0,1
"24",2006.99726027397,"F","(35,40]",110,11,3,1
"25",2006.99726027397,"F","(40,50]",123,14,2,2
"26",2006.99726027397,"F","(50,60]",57,5,0,1
"27",2006.99726027397,"F","(60,Inf]",26,1,0,0
"28",2006.99726027397,"M","(12,16]",176,0,0,0
"29",2006.99726027397,"M","(16,20]",205,1,0,0
"30",2006.99726027397,"M","(20,25]",226,5,0,0
"31",2006.99726027397,"M","(25,30]",184,11,1,0
"32",2006.99726027397,"M","(30,35]",151,21,2,2
"33",2006.99726027397,"M","(35,40]",110,10,2,0
"34",2006.99726027397,"M","(40,50]",127,9,0,3
"35",2006.99726027397,"M","(50,60]",54,11,0,1
"36",2006.99726027397,"M","(60,Inf]",34,2,0,1
"37",2010.99726027397,"F","(12,16]",209,1,0,0
"38",2010.99726027397,"F","(16,20]",253,3,0,0
"39",2010.99726027397,"F","(20,25]",238,5,0,2
"40",2010.99726027397,"F","(25,30]",207,17,0,4
"41",2010.99726027397,"F","(30,35]",139,18,3,4
"42",2010.99726027397,"F","(35,40]",99,11,3,1
"43",2010.99726027397,"F","(40,50]",119,15,1,2
"44",2010.99726027397,"F","(50,60]",56,8,0,1
"45",2010.99726027397,"F","(60,Inf]",46,5,1,1
"46",2010.99726027397,"M","(12,16]",197,0,0,0
"47",2010.99726027397,"M","(16,20]",245,0,0,0
"48",2010.99726027397,"M","(20,25]",244,4,0,1
"49",2010.99726027397,"M","(25,30]",214,7,0,3
"50",2010.99726027397,"M","(30,35]",156,17,1,1
"51",2010.99726027397,"M","(35,40]",125,15,4,0
"52",2010.99726027397,"M","(40,50]",148,23,5,1
"53",2010.99726027397,"M","(50,60]",55,7,0,1
"54",2010.99726027397,"M","(60,Inf]",48,9,2,2
"55",2014.99726027397,"F","(12,16]",213,0,0,0
"56",2014.99726027397,"F","(16,20]",224,3,0,0
"57",2014.99726027397,"F","(20,25]",293,11,3,0
"58",2014.99726027397,"F","(25,30]",246,23,4,0
"59",2014.99726027397,"F","(30,35]",152,16,2,3
"60",2014.99726027397,"F","(35,40]",123,9,2,1
"61",2014.99726027397,"F","(40,50]",142,13,2,0
"62",2014.99726027397,"F","(50,60]",60,8,2,0
"63",2014.99726027397,"F","(60,Inf]",45,3,0,0
"64",2014.99726027397,"M","(12,16]",228,0,0,0
"65",2014.99726027397,"M","(16,20]",256,3,0,1
"66",2014.99726027397,"M","(20,25]",291,12,1,1
"67",2014.99726027397,"M","(25,30]",234,11,0,2
"68",2014.99726027397,"M","(30,35]",183,12,1,0
"69",2014.99726027397,"M","(35,40]",131,16,3,1
"70",2014.99726027397,"M","(40,50]",174,29,9,4
"71",2014.99726027397,"M","(50,60]",68,8,0,1
"72",2014.99726027397,"M","(60,Inf]",39,5,3,0
