"","YR","GENDER","AGE","ALIVE_N","ALIVE_AND_DIAG_N","ALIVE_AND_ART_N","ALIVE_AND_SEQ_N"
"1",2002.99726027397,"F","(12,16]",152,0,0,0
"2",2002.99726027397,"F","(16,20]",175,5,0,0
"3",2002.99726027397,"F","(20,25]",188,4,0,0
"4",2002.99726027397,"F","(25,30]",156,7,0,0
"5",2002.99726027397,"F","(30,35]",137,9,0,1
"6",2002.99726027397,"F","(35,40]",102,3,0,0
"7",2002.99726027397,"F","(40,50]",137,7,0,0
"8",2002.99726027397,"F","(50,60]",77,6,0,1
"9",2002.99726027397,"F","(60,Inf]",33,1,0,0
"10",2002.99726027397,"M","(12,16]",162,0,0,0
"11",2002.99726027397,"M","(16,20]",191,0,0,0
"12",2002.99726027397,"M","(20,25]",195,5,0,1
"13",2002.99726027397,"M","(25,30]",146,2,0,0
"14",2002.99726027397,"M","(30,35]",144,5,0,1
"15",2002.99726027397,"M","(35,40]",87,7,0,1
"16",2002.99726027397,"M","(40,50]",128,7,0,2
"17",2002.99726027397,"M","(50,60]",71,7,0,1
"18",2002.99726027397,"M","(60,Inf]",47,1,0,0
"19",2006.99726027397,"F","(12,16]",171,0,0,0
"20",2006.99726027397,"F","(16,20]",187,1,0,0
"21",2006.99726027397,"F","(20,25]",230,16,0,1
"22",2006.99726027397,"F","(25,30]",172,11,0,0
"23",2006.99726027397,"F","(30,35]",139,11,2,2
"24",2006.99726027397,"F","(35,40]",112,6,1,0
"25",2006.99726027397,"F","(40,50]",121,13,0,2
"26",2006.99726027397,"F","(50,60]",72,14,3,0
"27",2006.99726027397,"F","(60,Inf]",44,2,1,0
"28",2006.99726027397,"M","(12,16]",170,0,0,0
"29",2006.99726027397,"M","(16,20]",229,0,0,0
"30",2006.99726027397,"M","(20,25]",242,1,0,0
"31",2006.99726027397,"M","(25,30]",180,11,0,0
"32",2006.99726027397,"M","(30,35]",138,18,3,2
"33",2006.99726027397,"M","(35,40]",116,15,0,2
"34",2006.99726027397,"M","(40,50]",134,15,1,0
"35",2006.99726027397,"M","(50,60]",63,7,0,1
"36",2006.99726027397,"M","(60,Inf]",41,5,2,0
"37",2010.99726027397,"F","(12,16]",214,0,0,0
"38",2010.99726027397,"F","(16,20]",237,3,0,0
"39",2010.99726027397,"F","(20,25]",261,5,0,0
"40",2010.99726027397,"F","(25,30]",209,16,1,1
"41",2010.99726027397,"F","(30,35]",140,19,2,1
"42",2010.99726027397,"F","(35,40]",113,12,3,2
"43",2010.99726027397,"F","(40,50]",131,20,4,2
"44",2010.99726027397,"F","(50,60]",62,13,0,4
"45",2010.99726027397,"F","(60,Inf]",35,4,0,0
"46",2010.99726027397,"M","(12,16]",194,0,0,0
"47",2010.99726027397,"M","(16,20]",230,1,0,1
"48",2010.99726027397,"M","(20,25]",261,4,0,0
"49",2010.99726027397,"M","(25,30]",213,12,0,2
"50",2010.99726027397,"M","(30,35]",186,10,1,1
"51",2010.99726027397,"M","(35,40]",120,14,4,2
"52",2010.99726027397,"M","(40,50]",145,13,5,0
"53",2010.99726027397,"M","(50,60]",52,5,0,0
"54",2010.99726027397,"M","(60,Inf]",35,5,1,0
"55",2014.99726027397,"F","(12,16]",215,0,0,0
"56",2014.99726027397,"F","(16,20]",255,11,1,0
"57",2014.99726027397,"F","(20,25]",262,16,0,0
"58",2014.99726027397,"F","(25,30]",231,22,1,3
"59",2014.99726027397,"F","(30,35]",161,14,2,4
"60",2014.99726027397,"F","(35,40]",119,8,1,0
"61",2014.99726027397,"F","(40,50]",163,15,1,3
"62",2014.99726027397,"F","(50,60]",56,9,2,2
"63",2014.99726027397,"F","(60,Inf]",40,0,0,0
"64",2014.99726027397,"M","(12,16]",224,0,0,0
"65",2014.99726027397,"M","(16,20]",269,2,0,0
"66",2014.99726027397,"M","(20,25]",293,12,1,1
"67",2014.99726027397,"M","(25,30]",247,14,2,2
"68",2014.99726027397,"M","(30,35]",189,18,2,2
"69",2014.99726027397,"M","(35,40]",145,16,3,0
"70",2014.99726027397,"M","(40,50]",170,21,6,2
"71",2014.99726027397,"M","(50,60]",61,12,2,1
"72",2014.99726027397,"M","(60,Inf]",53,3,0,1
