"","YR","GENDER","AGE","ALIVE_N","ALIVE_AND_DIAG_N","ALIVE_AND_ART_N","ALIVE_AND_SEQ_N"
"1",2002.99726027397,"F","(12,16]",165,0,0,0
"2",2002.99726027397,"F","(16,20]",203,1,0,0
"3",2002.99726027397,"F","(20,25]",186,4,0,0
"4",2002.99726027397,"F","(25,30]",158,3,0,0
"5",2002.99726027397,"F","(30,35]",154,7,0,0
"6",2002.99726027397,"F","(35,40]",105,7,0,1
"7",2002.99726027397,"F","(40,50]",127,9,0,0
"8",2002.99726027397,"F","(50,60]",103,10,0,0
"9",2002.99726027397,"F","(60,Inf]",51,4,0,0
"10",2002.99726027397,"M","(12,16]",175,0,0,0
"11",2002.99726027397,"M","(16,20]",168,0,0,0
"12",2002.99726027397,"M","(20,25]",181,2,0,0
"13",2002.99726027397,"M","(25,30]",176,5,0,0
"14",2002.99726027397,"M","(30,35]",133,6,0,1
"15",2002.99726027397,"M","(35,40]",111,4,0,0
"16",2002.99726027397,"M","(40,50]",151,11,0,1
"17",2002.99726027397,"M","(50,60]",104,11,0,0
"18",2002.99726027397,"M","(60,Inf]",58,5,0,0
"19",2006.99726027397,"F","(12,16]",184,0,0,0
"20",2006.99726027397,"F","(16,20]",194,2,0,0
"21",2006.99726027397,"F","(20,25]",237,4,0,0
"22",2006.99726027397,"F","(25,30]",173,10,0,1
"23",2006.99726027397,"F","(30,35]",152,5,1,0
"24",2006.99726027397,"F","(35,40]",118,6,0,2
"25",2006.99726027397,"F","(40,50]",142,13,1,0
"26",2006.99726027397,"F","(50,60]",77,11,2,2
"27",2006.99726027397,"F","(60,Inf]",69,7,1,0
"28",2006.99726027397,"M","(12,16]",180,0,0,0
"29",2006.99726027397,"M","(16,20]",197,0,0,0
"30",2006.99726027397,"M","(20,25]",227,5,0,1
"31",2006.99726027397,"M","(25,30]",184,7,0,1
"32",2006.99726027397,"M","(30,35]",175,13,1,1
"33",2006.99726027397,"M","(35,40]",120,15,1,0
"34",2006.99726027397,"M","(40,50]",132,19,3,1
"35",2006.99726027397,"M","(50,60]",86,14,1,0
"36",2006.99726027397,"M","(60,Inf]",73,10,2,0
"37",2010.99726027397,"F","(12,16]",222,0,0,0
"38",2010.99726027397,"F","(16,20]",221,2,0,0
"39",2010.99726027397,"F","(20,25]",262,8,1,0
"40",2010.99726027397,"F","(25,30]",191,9,1,0
"41",2010.99726027397,"F","(30,35]",144,14,1,1
"42",2010.99726027397,"F","(35,40]",133,10,0,0
"43",2010.99726027397,"F","(40,50]",132,19,3,0
"44",2010.99726027397,"F","(50,60]",85,14,0,1
"45",2010.99726027397,"F","(60,Inf]",57,8,1,2
"46",2010.99726027397,"M","(12,16]",198,0,0,0
"47",2010.99726027397,"M","(16,20]",238,0,0,0
"48",2010.99726027397,"M","(20,25]",260,0,0,0
"49",2010.99726027397,"M","(25,30]",231,3,0,1
"50",2010.99726027397,"M","(30,35]",165,15,1,1
"51",2010.99726027397,"M","(35,40]",140,10,2,1
"52",2010.99726027397,"M","(40,50]",171,21,4,3
"53",2010.99726027397,"M","(50,60]",77,12,2,1
"54",2010.99726027397,"M","(60,Inf]",53,6,1,0
"55",2014.99726027397,"F","(12,16]",194,0,0,0
"56",2014.99726027397,"F","(16,20]",257,7,0,1
"57",2014.99726027397,"F","(20,25]",254,11,2,0
"58",2014.99726027397,"F","(25,30]",198,13,1,2
"59",2014.99726027397,"F","(30,35]",172,12,2,1
"60",2014.99726027397,"F","(35,40]",120,12,2,0
"61",2014.99726027397,"F","(40,50]",189,32,2,5
"62",2014.99726027397,"F","(50,60]",87,12,4,1
"63",2014.99726027397,"F","(60,Inf]",64,13,4,1
"64",2014.99726027397,"M","(12,16]",231,0,0,0
"65",2014.99726027397,"M","(16,20]",254,0,0,0
"66",2014.99726027397,"M","(20,25]",321,12,1,2
"67",2014.99726027397,"M","(25,30]",223,6,0,1
"68",2014.99726027397,"M","(30,35]",188,25,1,1
"69",2014.99726027397,"M","(35,40]",140,15,0,1
"70",2014.99726027397,"M","(40,50]",207,19,6,2
"71",2014.99726027397,"M","(50,60]",97,13,4,1
"72",2014.99726027397,"M","(60,Inf]",71,8,2,1
