"","YR","GENDER","AGE","ALIVE_N","ALIVE_AND_DIAG_N","ALIVE_AND_ART_N","ALIVE_AND_SEQ_N"
"1",2002.99726027397,"F","(12,16]",172,0,0,0
"2",2002.99726027397,"F","(16,20]",194,0,0,0
"3",2002.99726027397,"F","(20,25]",201,0,0,0
"4",2002.99726027397,"F","(25,30]",168,4,0,0
"5",2002.99726027397,"F","(30,35]",133,5,0,0
"6",2002.99726027397,"F","(35,40]",128,8,0,3
"7",2002.99726027397,"F","(40,50]",131,10,0,1
"8",2002.99726027397,"F","(50,60]",108,7,0,0
"9",2002.99726027397,"F","(60,Inf]",66,5,0,1
"10",2002.99726027397,"M","(12,16]",161,0,0,0
"11",2002.99726027397,"M","(16,20]",189,0,0,0
"12",2002.99726027397,"M","(20,25]",235,3,0,0
"13",2002.99726027397,"M","(25,30]",165,3,0,0
"14",2002.99726027397,"M","(30,35]",154,3,0,2
"15",2002.99726027397,"M","(35,40]",98,8,0,1
"16",2002.99726027397,"M","(40,50]",134,12,0,0
"17",2002.99726027397,"M","(50,60]",96,7,0,2
"18",2002.99726027397,"M","(60,Inf]",42,3,0,1
"19",2006.99726027397,"F","(12,16]",179,0,0,0
"20",2006.99726027397,"F","(16,20]",220,1,0,0
"21",2006.99726027397,"F","(20,25]",267,5,0,0
"22",2006.99726027397,"F","(25,30]",167,4,0,0
"23",2006.99726027397,"F","(30,35]",160,24,0,1
"24",2006.99726027397,"F","(35,40]",101,9,0,1
"25",2006.99726027397,"F","(40,50]",155,17,2,2
"26",2006.99726027397,"F","(50,60]",75,14,1,0
"27",2006.99726027397,"F","(60,Inf]",57,8,0,0
"28",2006.99726027397,"M","(12,16]",187,0,0,0
"29",2006.99726027397,"M","(16,20]",219,0,0,0
"30",2006.99726027397,"M","(20,25]",224,4,1,0
"31",2006.99726027397,"M","(25,30]",195,9,1,1
"32",2006.99726027397,"M","(30,35]",171,10,1,3
"33",2006.99726027397,"M","(35,40]",143,10,0,0
"34",2006.99726027397,"M","(40,50]",146,9,1,1
"35",2006.99726027397,"M","(50,60]",81,16,0,0
"36",2006.99726027397,"M","(60,Inf]",56,13,0,0
"37",2010.99726027397,"F","(12,16]",201,0,0,0
"38",2010.99726027397,"F","(16,20]",283,2,0,1
"39",2010.99726027397,"F","(20,25]",251,4,0,0
"40",2010.99726027397,"F","(25,30]",197,12,3,0
"41",2010.99726027397,"F","(30,35]",155,9,1,0
"42",2010.99726027397,"F","(35,40]",144,15,0,2
"43",2010.99726027397,"F","(40,50]",144,17,1,2
"44",2010.99726027397,"F","(50,60]",71,11,1,3
"45",2010.99726027397,"F","(60,Inf]",73,12,2,1
"46",2010.99726027397,"M","(12,16]",209,0,0,0
"47",2010.99726027397,"M","(16,20]",245,0,0,0
"48",2010.99726027397,"M","(20,25]",282,3,0,1
"49",2010.99726027397,"M","(25,30]",188,5,1,1
"50",2010.99726027397,"M","(30,35]",171,18,2,0
"51",2010.99726027397,"M","(35,40]",118,16,2,2
"52",2010.99726027397,"M","(40,50]",175,35,2,4
"53",2010.99726027397,"M","(50,60]",86,14,1,1
"54",2010.99726027397,"M","(60,Inf]",60,12,2,2
"55",2014.99726027397,"F","(12,16]",245,1,0,1
"56",2014.99726027397,"F","(16,20]",252,3,0,0
"57",2014.99726027397,"F","(20,25]",296,14,0,2
"58",2014.99726027397,"F","(25,30]",226,15,1,1
"59",2014.99726027397,"F","(30,35]",170,17,5,1
"60",2014.99726027397,"F","(35,40]",115,17,4,0
"61",2014.99726027397,"F","(40,50]",182,25,3,1
"62",2014.99726027397,"F","(50,60]",95,15,5,1
"63",2014.99726027397,"F","(60,Inf]",79,13,2,0
"64",2014.99726027397,"M","(12,16]",221,0,0,0
"65",2014.99726027397,"M","(16,20]",305,1,0,0
"66",2014.99726027397,"M","(20,25]",285,2,0,1
"67",2014.99726027397,"M","(25,30]",238,13,1,1
"68",2014.99726027397,"M","(30,35]",172,13,1,2
"69",2014.99726027397,"M","(35,40]",151,19,2,2
"70",2014.99726027397,"M","(40,50]",181,29,6,1
"71",2014.99726027397,"M","(50,60]",74,14,4,2
"72",2014.99726027397,"M","(60,Inf]",57,14,1,0
