"","YR","GENDER","AGE","ALIVE_N","ALIVE_AND_DIAG_N","ALIVE_AND_ART_N","ALIVE_AND_SEQ_N"
"1",2002.99726027397,"F","(12,16]",157,0,0,0
"2",2002.99726027397,"F","(16,20]",210,1,0,0
"3",2002.99726027397,"F","(20,25]",203,4,0,0
"4",2002.99726027397,"F","(25,30]",156,9,0,1
"5",2002.99726027397,"F","(30,35]",111,5,0,0
"6",2002.99726027397,"F","(35,40]",81,5,0,1
"7",2002.99726027397,"F","(40,50]",104,8,0,2
"8",2002.99726027397,"F","(50,60]",77,9,0,1
"9",2002.99726027397,"F","(60,Inf]",63,7,0,0
"10",2002.99726027397,"M","(12,16]",151,0,0,0
"11",2002.99726027397,"M","(16,20]",167,0,0,0
"12",2002.99726027397,"M","(20,25]",196,0,0,0
"13",2002.99726027397,"M","(25,30]",163,3,0,0
"14",2002.99726027397,"M","(30,35]",141,8,0,1
"15",2002.99726027397,"M","(35,40]",100,6,0,0
"16",2002.99726027397,"M","(40,50]",118,10,0,0
"17",2002.99726027397,"M","(50,60]",69,8,0,0
"18",2002.99726027397,"M","(60,Inf]",44,5,0,0
"19",2006.99726027397,"F","(12,16]",168,0,0,0
"20",2006.99726027397,"F","(16,20]",217,0,0,0
"21",2006.99726027397,"F","(20,25]",225,9,0,0
"22",2006.99726027397,"F","(25,30]",168,14,3,2
"23",2006.99726027397,"F","(30,35]",122,5,0,1
"24",2006.99726027397,"F","(35,40]",110,11,4,1
"25",2006.99726027397,"F","(40,50]",114,12,1,1
"26",2006.99726027397,"F","(50,60]",60,4,0,0
"27",2006.99726027397,"F","(60,Inf]",53,7,2,2
"28",2006.99726027397,"M","(12,16]",186,0,0,0
"29",2006.99726027397,"M","(16,20]",244,0,0,0
"30",2006.99726027397,"M","(20,25]",228,3,0,1
"31",2006.99726027397,"M","(25,30]",164,10,0,1
"32",2006.99726027397,"M","(30,35]",145,11,2,2
"33",2006.99726027397,"M","(35,40]",99,12,3,0
"34",2006.99726027397,"M","(40,50]",120,12,2,1
"35",2006.99726027397,"M","(50,60]",72,12,0,1
"36",2006.99726027397,"M","(60,Inf]",39,4,1,0
"37",2010.99726027397,"F","(12,16]",183,1,0,0
"38",2010.99726027397,"F","(16,20]",253,4,0,1
"39",2010.99726027397,"F","(20,25]",245,9,1,1
"40",2010.99726027397,"F","(25,30]",192,8,0,0
"41",2010.99726027397,"F","(30,35]",155,19,0,2
"42",2010.99726027397,"F","(35,40]",115,7,1,0
"43",2010.99726027397,"F","(40,50]",124,14,2,1
"44",2010.99726027397,"F","(50,60]",71,7,0,0
"45",2010.99726027397,"F","(60,Inf]",47,3,0,0
"46",2010.99726027397,"M","(12,16]",185,0,0,0
"47",2010.99726027397,"M","(16,20]",234,1,0,0
"48",2010.99726027397,"M","(20,25]",259,3,0,0
"49",2010.99726027397,"M","(25,30]",213,9,0,1
"50",2010.99726027397,"M","(30,35]",172,20,1,2
"51",2010.99726027397,"M","(35,40]",127,11,1,0
"52",2010.99726027397,"M","(40,50]",128,19,3,2
"53",2010.99726027397,"M","(50,60]",59,13,1,1
"54",2010.99726027397,"M","(60,Inf]",36,5,1,0
"55",2014.99726027397,"F","(12,16]",227,0,0,0
"56",2014.99726027397,"F","(16,20]",261,1,0,0
"57",2014.99726027397,"F","(20,25]",292,10,0,2
"58",2014.99726027397,"F","(25,30]",224,23,5,2
"59",2014.99726027397,"F","(30,35]",170,16,4,2
"60",2014.99726027397,"F","(35,40]",133,16,3,4
"61",2014.99726027397,"F","(40,50]",131,17,5,3
"62",2014.99726027397,"F","(50,60]",61,11,3,2
"63",2014.99726027397,"F","(60,Inf]",49,2,0,0
"64",2014.99726027397,"M","(12,16]",212,0,0,0
"65",2014.99726027397,"M","(16,20]",271,2,0,0
"66",2014.99726027397,"M","(20,25]",275,11,1,2
"67",2014.99726027397,"M","(25,30]",215,11,0,2
"68",2014.99726027397,"M","(30,35]",183,19,2,1
"69",2014.99726027397,"M","(35,40]",136,10,0,1
"70",2014.99726027397,"M","(40,50]",156,24,9,2
"71",2014.99726027397,"M","(50,60]",68,13,0,1
"72",2014.99726027397,"M","(60,Inf]",38,11,1,0
