"","YR","GENDER","AGE","ALIVE_N","ALIVE_AND_DIAG_N","ALIVE_AND_ART_N","ALIVE_AND_SEQ_N"
"1",2002.99726027397,"F","(12,16]",175,0,0,0
"2",2002.99726027397,"F","(16,20]",158,3,0,0
"3",2002.99726027397,"F","(20,25]",202,3,0,0
"4",2002.99726027397,"F","(25,30]",165,6,0,1
"5",2002.99726027397,"F","(30,35]",154,4,0,0
"6",2002.99726027397,"F","(35,40]",112,3,0,0
"7",2002.99726027397,"F","(40,50]",130,7,0,0
"8",2002.99726027397,"F","(50,60]",99,4,0,0
"9",2002.99726027397,"F","(60,Inf]",63,2,0,0
"10",2002.99726027397,"M","(12,16]",180,0,0,0
"11",2002.99726027397,"M","(16,20]",182,0,0,0
"12",2002.99726027397,"M","(20,25]",202,5,0,0
"13",2002.99726027397,"M","(25,30]",191,6,0,0
"14",2002.99726027397,"M","(30,35]",143,11,0,0
"15",2002.99726027397,"M","(35,40]",110,5,0,0
"16",2002.99726027397,"M","(40,50]",134,15,0,0
"17",2002.99726027397,"M","(50,60]",99,6,0,0
"18",2002.99726027397,"M","(60,Inf]",63,6,0,0
"19",2006.99726027397,"F","(12,16]",205,0,0,0
"20",2006.99726027397,"F","(16,20]",218,2,0,0
"21",2006.99726027397,"F","(20,25]",229,9,0,1
"22",2006.99726027397,"F","(25,30]",185,16,0,1
"23",2006.99726027397,"F","(30,35]",144,10,1,0
"24",2006.99726027397,"F","(35,40]",120,16,1,0
"25",2006.99726027397,"F","(40,50]",139,15,1,0
"26",2006.99726027397,"F","(50,60]",85,8,0,0
"27",2006.99726027397,"F","(60,Inf]",66,5,2,0
"28",2006.99726027397,"M","(12,16]",187,0,0,0
"29",2006.99726027397,"M","(16,20]",218,0,0,0
"30",2006.99726027397,"M","(20,25]",255,1,0,0
"31",2006.99726027397,"M","(25,30]",175,7,0,0
"32",2006.99726027397,"M","(30,35]",139,7,0,0
"33",2006.99726027397,"M","(35,40]",131,9,0,0
"34",2006.99726027397,"M","(40,50]",131,17,1,1
"35",2006.99726027397,"M","(50,60]",93,13,2,1
"36",2006.99726027397,"M","(60,Inf]",76,14,2,0
"37",2010.99726027397,"F","(12,16]",202,0,0,0
"38",2010.99726027397,"F","(16,20]",270,1,0,0
"39",2010.99726027397,"F","(20,25]",247,5,1,0
"40",2010.99726027397,"F","(25,30]",217,15,0,0
"41",2010.99726027397,"F","(30,35]",154,11,0,0
"42",2010.99726027397,"F","(35,40]",131,16,1,0
"43",2010.99726027397,"F","(40,50]",142,15,3,0
"44",2010.99726027397,"F","(50,60]",97,18,3,1
"45",2010.99726027397,"F","(60,Inf]",64,8,1,0
"46",2010.99726027397,"M","(12,16]",195,0,0,0
"47",2010.99726027397,"M","(16,20]",289,0,0,0
"48",2010.99726027397,"M","(20,25]",244,5,0,0
"49",2010.99726027397,"M","(25,30]",205,14,0,0
"50",2010.99726027397,"M","(30,35]",152,6,0,0
"51",2010.99726027397,"M","(35,40]",129,15,1,2
"52",2010.99726027397,"M","(40,50]",165,13,2,0
"53",2010.99726027397,"M","(50,60]",76,14,3,1
"54",2010.99726027397,"M","(60,Inf]",69,13,2,0
"55",2014.99726027397,"F","(12,16]",244,1,0,0
"56",2014.99726027397,"F","(16,20]",275,2,0,0
"57",2014.99726027397,"F","(20,25]",289,8,0,0
"58",2014.99726027397,"F","(25,30]",212,21,2,0
"59",2014.99726027397,"F","(30,35]",179,13,2,0
"60",2014.99726027397,"F","(35,40]",132,18,2,0
"61",2014.99726027397,"F","(40,50]",143,20,4,0
"62",2014.99726027397,"F","(50,60]",93,15,4,0
"63",2014.99726027397,"F","(60,Inf]",62,10,3,1
"64",2014.99726027397,"M","(12,16]",238,0,0,0
"65",2014.99726027397,"M","(16,20]",272,4,0,0
"66",2014.99726027397,"M","(20,25]",316,8,1,0
"67",2014.99726027397,"M","(25,30]",245,15,3,1
"68",2014.99726027397,"M","(30,35]",191,24,5,0
"69",2014.99726027397,"M","(35,40]",152,26,1,0
"70",2014.99726027397,"M","(40,50]",177,28,9,0
"71",2014.99726027397,"M","(50,60]",71,10,3,0
"72",2014.99726027397,"M","(60,Inf]",48,12,1,0
