"","YR","GENDER","AGE","ALIVE_N","ALIVE_AND_DIAG_N","ALIVE_AND_ART_N","ALIVE_AND_SEQ_N"
"1",2002.99726027397,"F","(12,16]",178,0,0,0
"2",2002.99726027397,"F","(16,20]",170,1,0,0
"3",2002.99726027397,"F","(20,25]",203,5,0,0
"4",2002.99726027397,"F","(25,30]",179,4,0,0
"5",2002.99726027397,"F","(30,35]",139,9,0,0
"6",2002.99726027397,"F","(35,40]",100,3,0,0
"7",2002.99726027397,"F","(40,50]",135,8,0,0
"8",2002.99726027397,"F","(50,60]",115,17,0,3
"9",2002.99726027397,"F","(60,Inf]",62,1,0,0
"10",2002.99726027397,"M","(12,16]",193,0,0,0
"11",2002.99726027397,"M","(16,20]",177,1,0,0
"12",2002.99726027397,"M","(20,25]",189,1,0,0
"13",2002.99726027397,"M","(25,30]",163,5,0,0
"14",2002.99726027397,"M","(30,35]",165,7,0,2
"15",2002.99726027397,"M","(35,40]",111,7,0,1
"16",2002.99726027397,"M","(40,50]",130,8,0,3
"17",2002.99726027397,"M","(50,60]",102,11,0,1
"18",2002.99726027397,"M","(60,Inf]",51,3,0,1
"19",2006.99726027397,"F","(12,16]",193,0,0,0
"20",2006.99726027397,"F","(16,20]",202,0,0,0
"21",2006.99726027397,"F","(20,25]",224,5,1,0
"22",2006.99726027397,"F","(25,30]",190,12,0,1
"23",2006.99726027397,"F","(30,35]",157,10,0,0
"24",2006.99726027397,"F","(35,40]",123,11,0,2
"25",2006.99726027397,"F","(40,50]",118,11,1,3
"26",2006.99726027397,"F","(50,60]",99,18,1,1
"27",2006.99726027397,"F","(60,Inf]",73,9,2,1
"28",2006.99726027397,"M","(12,16]",182,0,0,0
"29",2006.99726027397,"M","(16,20]",209,0,0,0
"30",2006.99726027397,"M","(20,25]",236,5,0,1
"31",2006.99726027397,"M","(25,30]",195,6,0,1
"32",2006.99726027397,"M","(30,35]",174,12,3,2
"33",2006.99726027397,"M","(35,40]",139,13,0,1
"34",2006.99726027397,"M","(40,50]",132,15,1,1
"35",2006.99726027397,"M","(50,60]",78,11,2,1
"36",2006.99726027397,"M","(60,Inf]",72,12,1,2
"37",2010.99726027397,"F","(12,16]",226,0,0,0
"38",2010.99726027397,"F","(16,20]",234,1,0,1
"39",2010.99726027397,"F","(20,25]",252,6,0,0
"40",2010.99726027397,"F","(25,30]",196,13,1,3
"41",2010.99726027397,"F","(30,35]",177,8,1,0
"42",2010.99726027397,"F","(35,40]",141,8,1,1
"43",2010.99726027397,"F","(40,50]",167,24,1,1
"44",2010.99726027397,"F","(50,60]",81,16,2,1
"45",2010.99726027397,"F","(60,Inf]",69,9,2,0
"46",2010.99726027397,"M","(12,16]",186,0,0,0
"47",2010.99726027397,"M","(16,20]",222,0,0,0
"48",2010.99726027397,"M","(20,25]",259,2,0,0
"49",2010.99726027397,"M","(25,30]",192,12,0,2
"50",2010.99726027397,"M","(30,35]",164,12,0,3
"51",2010.99726027397,"M","(35,40]",143,18,0,1
"52",2010.99726027397,"M","(40,50]",189,19,5,4
"53",2010.99726027397,"M","(50,60]",99,12,1,0
"54",2010.99726027397,"M","(60,Inf]",51,7,0,0
"55",2014.99726027397,"F","(12,16]",209,0,0,0
"56",2014.99726027397,"F","(16,20]",274,1,0,0
"57",2014.99726027397,"F","(20,25]",306,9,0,0
"58",2014.99726027397,"F","(25,30]",221,12,1,1
"59",2014.99726027397,"F","(30,35]",169,20,3,2
"60",2014.99726027397,"F","(35,40]",121,11,2,2
"61",2014.99726027397,"F","(40,50]",202,33,3,3
"62",2014.99726027397,"F","(50,60]",82,10,2,0
"63",2014.99726027397,"F","(60,Inf]",57,7,4,2
"64",2014.99726027397,"M","(12,16]",224,0,0,0
"65",2014.99726027397,"M","(16,20]",256,1,0,0
"66",2014.99726027397,"M","(20,25]",304,9,3,0
"67",2014.99726027397,"M","(25,30]",223,7,0,0
"68",2014.99726027397,"M","(30,35]",183,14,4,1
"69",2014.99726027397,"M","(35,40]",146,15,5,2
"70",2014.99726027397,"M","(40,50]",191,29,9,4
"71",2014.99726027397,"M","(50,60]",92,18,3,0
"72",2014.99726027397,"M","(60,Inf]",79,14,5,2
