"","YR","GENDER","AGE","ALIVE_N","ALIVE_AND_DIAG_N","ALIVE_AND_ART_N","ALIVE_AND_SEQ_N"
"1",2002.99726027397,"F","(12,16]",174,0,0,0
"2",2002.99726027397,"F","(16,20]",178,0,0,0
"3",2002.99726027397,"F","(20,25]",200,6,0,0
"4",2002.99726027397,"F","(25,30]",168,3,0,0
"5",2002.99726027397,"F","(30,35]",156,9,0,0
"6",2002.99726027397,"F","(35,40]",124,2,0,0
"7",2002.99726027397,"F","(40,50]",115,1,0,0
"8",2002.99726027397,"F","(50,60]",103,7,0,0
"9",2002.99726027397,"F","(60,Inf]",60,4,0,0
"10",2002.99726027397,"M","(12,16]",191,0,0,0
"11",2002.99726027397,"M","(16,20]",185,0,0,0
"12",2002.99726027397,"M","(20,25]",212,2,0,0
"13",2002.99726027397,"M","(25,30]",172,6,0,0
"14",2002.99726027397,"M","(30,35]",142,5,0,0
"15",2002.99726027397,"M","(35,40]",116,6,0,0
"16",2002.99726027397,"M","(40,50]",139,6,0,1
"17",2002.99726027397,"M","(50,60]",83,7,0,0
"18",2002.99726027397,"M","(60,Inf]",57,3,0,0
"19",2006.99726027397,"F","(12,16]",205,0,0,0
"20",2006.99726027397,"F","(16,20]",232,0,0,0
"21",2006.99726027397,"F","(20,25]",227,6,0,0
"22",2006.99726027397,"F","(25,30]",158,10,0,0
"23",2006.99726027397,"F","(30,35]",136,10,1,0
"24",2006.99726027397,"F","(35,40]",129,11,0,0
"25",2006.99726027397,"F","(40,50]",129,14,1,0
"26",2006.99726027397,"F","(50,60]",81,11,4,1
"27",2006.99726027397,"F","(60,Inf]",69,3,1,1
"28",2006.99726027397,"M","(12,16]",197,0,0,0
"29",2006.99726027397,"M","(16,20]",225,0,0,0
"30",2006.99726027397,"M","(20,25]",256,3,0,0
"31",2006.99726027397,"M","(25,30]",172,5,0,0
"32",2006.99726027397,"M","(30,35]",152,13,0,1
"33",2006.99726027397,"M","(35,40]",127,9,0,0
"34",2006.99726027397,"M","(40,50]",143,13,0,1
"35",2006.99726027397,"M","(50,60]",97,17,1,0
"36",2006.99726027397,"M","(60,Inf]",68,10,1,0
"37",2010.99726027397,"F","(12,16]",193,0,0,0
"38",2010.99726027397,"F","(16,20]",265,2,0,0
"39",2010.99726027397,"F","(20,25]",258,5,0,0
"40",2010.99726027397,"F","(25,30]",218,11,1,0
"41",2010.99726027397,"F","(30,35]",146,13,1,0
"42",2010.99726027397,"F","(35,40]",138,21,4,0
"43",2010.99726027397,"F","(40,50]",146,20,4,1
"44",2010.99726027397,"F","(50,60]",86,15,2,3
"45",2010.99726027397,"F","(60,Inf]",58,12,2,0
"46",2010.99726027397,"M","(12,16]",211,0,0,0
"47",2010.99726027397,"M","(16,20]",253,0,0,0
"48",2010.99726027397,"M","(20,25]",257,5,0,0
"49",2010.99726027397,"M","(25,30]",213,11,0,0
"50",2010.99726027397,"M","(30,35]",172,7,1,0
"51",2010.99726027397,"M","(35,40]",126,12,0,0
"52",2010.99726027397,"M","(40,50]",160,20,1,0
"53",2010.99726027397,"M","(50,60]",94,10,2,0
"54",2010.99726027397,"M","(60,Inf]",59,11,2,0
"55",2014.99726027397,"F","(12,16]",232,0,0,0
"56",2014.99726027397,"F","(16,20]",285,8,0,0
"57",2014.99726027397,"F","(20,25]",315,22,0,0
"58",2014.99726027397,"F","(25,30]",235,17,2,1
"59",2014.99726027397,"F","(30,35]",162,17,2,1
"60",2014.99726027397,"F","(35,40]",148,22,5,0
"61",2014.99726027397,"F","(40,50]",154,20,1,0
"62",2014.99726027397,"F","(50,60]",90,14,4,0
"63",2014.99726027397,"F","(60,Inf]",56,10,1,0
"64",2014.99726027397,"M","(12,16]",235,0,0,0
"65",2014.99726027397,"M","(16,20]",275,1,0,0
"66",2014.99726027397,"M","(20,25]",296,3,0,0
"67",2014.99726027397,"M","(25,30]",233,7,0,0
"68",2014.99726027397,"M","(30,35]",195,20,4,0
"69",2014.99726027397,"M","(35,40]",126,21,4,0
"70",2014.99726027397,"M","(40,50]",176,23,5,0
"71",2014.99726027397,"M","(50,60]",77,14,2,0
"72",2014.99726027397,"M","(60,Inf]",54,10,4,0
