"","YR","GENDER","AGE","ALIVE_N","ALIVE_AND_DIAG_N","ALIVE_AND_ART_N","ALIVE_AND_SEQ_N"
"1",2002.99726027397,"F","(12,16]",185,0,0,0
"2",2002.99726027397,"F","(16,20]",172,0,0,0
"3",2002.99726027397,"F","(20,25]",192,6,0,0
"4",2002.99726027397,"F","(25,30]",188,2,0,0
"5",2002.99726027397,"F","(30,35]",159,7,0,0
"6",2002.99726027397,"F","(35,40]",108,5,0,0
"7",2002.99726027397,"F","(40,50]",140,8,0,1
"8",2002.99726027397,"F","(50,60]",96,7,0,0
"9",2002.99726027397,"F","(60,Inf]",58,2,0,0
"10",2002.99726027397,"M","(12,16]",184,0,0,0
"11",2002.99726027397,"M","(16,20]",182,0,0,0
"12",2002.99726027397,"M","(20,25]",189,1,0,0
"13",2002.99726027397,"M","(25,30]",172,10,0,4
"14",2002.99726027397,"M","(30,35]",159,7,0,1
"15",2002.99726027397,"M","(35,40]",106,8,0,0
"16",2002.99726027397,"M","(40,50]",134,15,0,0
"17",2002.99726027397,"M","(50,60]",105,5,0,0
"18",2002.99726027397,"M","(60,Inf]",46,4,0,0
"19",2006.99726027397,"F","(12,16]",189,0,0,0
"20",2006.99726027397,"F","(16,20]",223,4,0,0
"21",2006.99726027397,"F","(20,25]",234,4,0,0
"22",2006.99726027397,"F","(25,30]",192,7,2,0
"23",2006.99726027397,"F","(30,35]",160,13,0,0
"24",2006.99726027397,"F","(35,40]",138,14,0,0
"25",2006.99726027397,"F","(40,50]",127,17,2,1
"26",2006.99726027397,"F","(50,60]",90,16,2,0
"27",2006.99726027397,"F","(60,Inf]",67,6,1,1
"28",2006.99726027397,"M","(12,16]",184,0,0,0
"29",2006.99726027397,"M","(16,20]",196,1,0,0
"30",2006.99726027397,"M","(20,25]",220,1,0,0
"31",2006.99726027397,"M","(25,30]",194,7,0,0
"32",2006.99726027397,"M","(30,35]",162,10,0,2
"33",2006.99726027397,"M","(35,40]",142,8,1,0
"34",2006.99726027397,"M","(40,50]",137,17,3,1
"35",2006.99726027397,"M","(50,60]",83,13,1,2
"36",2006.99726027397,"M","(60,Inf]",65,13,0,1
"37",2010.99726027397,"F","(12,16]",208,0,0,0
"38",2010.99726027397,"F","(16,20]",225,1,0,0
"39",2010.99726027397,"F","(20,25]",250,4,1,0
"40",2010.99726027397,"F","(25,30]",191,9,3,0
"41",2010.99726027397,"F","(30,35]",161,14,2,1
"42",2010.99726027397,"F","(35,40]",139,11,2,0
"43",2010.99726027397,"F","(40,50]",192,24,4,5
"44",2010.99726027397,"F","(50,60]",83,13,2,1
"45",2010.99726027397,"F","(60,Inf]",62,11,3,2
"46",2010.99726027397,"M","(12,16]",206,0,0,0
"47",2010.99726027397,"M","(16,20]",232,1,0,0
"48",2010.99726027397,"M","(20,25]",264,8,0,2
"49",2010.99726027397,"M","(25,30]",194,8,1,0
"50",2010.99726027397,"M","(30,35]",180,14,2,3
"51",2010.99726027397,"M","(35,40]",138,13,1,1
"52",2010.99726027397,"M","(40,50]",178,38,5,9
"53",2010.99726027397,"M","(50,60]",99,15,3,1
"54",2010.99726027397,"M","(60,Inf]",51,13,2,2
"55",2014.99726027397,"F","(12,16]",233,0,0,0
"56",2014.99726027397,"F","(16,20]",278,8,1,1
"57",2014.99726027397,"F","(20,25]",289,6,0,0
"58",2014.99726027397,"F","(25,30]",204,18,3,2
"59",2014.99726027397,"F","(30,35]",172,16,2,1
"60",2014.99726027397,"F","(35,40]",124,16,1,1
"61",2014.99726027397,"F","(40,50]",207,19,3,1
"62",2014.99726027397,"F","(50,60]",90,16,3,2
"63",2014.99726027397,"F","(60,Inf]",52,3,0,0
"64",2014.99726027397,"M","(12,16]",202,0,0,0
"65",2014.99726027397,"M","(16,20]",248,0,0,0
"66",2014.99726027397,"M","(20,25]",309,6,1,1
"67",2014.99726027397,"M","(25,30]",251,6,1,0
"68",2014.99726027397,"M","(30,35]",187,14,3,1
"69",2014.99726027397,"M","(35,40]",141,11,6,1
"70",2014.99726027397,"M","(40,50]",194,33,4,4
"71",2014.99726027397,"M","(50,60]",86,17,3,1
"72",2014.99726027397,"M","(60,Inf]",77,17,3,1
