"","SC","CONFIG","DATAT","SC_RND","GSUB_FROM","GSUB_TO","OBJ_i","OBJ_ii","OBJ_ii_te","OBJ_iii","OBJ_iv","OBJ_v","OBJ_vi","OBJ_vi_te","TEAM","SUBMISSION_DATE","SIM_SCENARIO","USED_GENES","ESTIMATE"
"1","scA","mFP85","DATEDTREE","S","scA-mFP85","SecondObj_scS","decreasing",0.00777719713504042,2018,0.418215320213095,"<10%",0.117867165575304,0.130434782608696,2018,"True","08.05.2015","150129_PANGEAsim_Regional_SecondObj_scS_SIMULATED_DATEDTREE","all","central"
"2","scA","ph","DATEDTREE","T","scA-ph","SecondObj_scT","decreasing",0.00777719713504042,2018,0.418215320213095,"<10%",0.119738072965388,0.128458498023715,2018,"True","08.05.2015","150129_PANGEAsim_Regional_SecondObj_scT_SIMULATED_DATEDTREE","all","central"
"3","scA","s2x","DATEDTREE","I","scA-s2x","SecondObj_scI","decreasing",0.00777719713504042,2018,0.418215320213095,"<10%",0.119738072965388,0.126482213438735,2018,"True","08.05.2015","150129_PANGEAsim_Regional_SecondObj_scI_SIMULATED_DATEDTREE","all","central"
"4","scA","sq","SEQ","D","scA-sq","FirstObj_scD","decreasing",0.00777719713504042,2018,0.418215320213095,"<10%",0.116931711880262,0.138339920948617,2018,"True","08.05.2015","150129_PANGEAsim_Regional_FirstObj_scD_SIMULATED_SEQ","all","central"
"5","scA","y3","DATEDTREE","O","scA-y3","SecondObj_scO","decreasing",0.0109313007260096,2016,0.587825839321479,"<10%",0.114125350795136,0.134036144578313,2016,"True","08.05.2015","150129_PANGEAsim_Regional_SecondObj_scO_SIMULATED_DATEDTREE","all","central"
"6","scB","ph","DATEDTREE","L","scB-ph","SecondObj_scL","decreasing",0.00757168677641542,2018,0.429260670128331,">30%",0.375262054507338,0.382795698924731,2018,"True","08.05.2015","150129_PANGEAsim_Regional_SecondObj_scL_SIMULATED_DATEDTREE","all","central"
"7","scB","s2x","DATEDTREE","J","scB-s2x","SecondObj_scJ","decreasing",0.00757168677641542,2018,0.429260670128331,">30%",0.377358490566038,0.380645161290323,2018,"True","08.05.2015","150129_PANGEAsim_Regional_SecondObj_scJ_SIMULATED_DATEDTREE","all","central"
"8","scB","sq","SEQ","A","scB-sq","FirstObj_scA","decreasing",0.00757168677641542,2018,0.429260670128331,">30%",0.367924528301887,0.397849462365591,2018,"True","08.05.2015","150129_PANGEAsim_Regional_FirstObj_scA_SIMULATED_SEQ","all","central"
"9","scB","tr20","DATEDTREE","P","scB-tr20","SecondObj_scP","decreasing",0.00757168677641542,2018,0.429260670128331,">30%",0.316561844863732,0.348387096774194,2018,"True","08.05.2015","150129_PANGEAsim_Regional_SecondObj_scP_SIMULATED_DATEDTREE","all","central"
"10","scB","y3","DATEDTREE","F","scB-y3","SecondObj_scF","decreasing",0.0103290644519664,2016,0.585584330067716,">30%",0.376310272536688,0.405405405405405,2016,"True","08.05.2015","150129_PANGEAsim_Regional_SecondObj_scF_SIMULATED_DATEDTREE","all","central"
"11","scC","mFP85","DATEDTREE","Q","scC-mFP85","SecondObj_scQ","decreasing",0.0125740219773388,2018,0.668889115455011,"<10%",0.13691026827012,0.11619283065513,2018,"True","08.05.2015","150129_PANGEAsim_Regional_SecondObj_scQ_SIMULATED_DATEDTREE","all","central"
"12","scC","ph","DATEDTREE","R","scC-ph","SecondObj_scR","decreasing",0.0125740219773388,2018,0.668889115455011,"<10%",0.13413506012951,0.119901112484549,2018,"True","08.05.2015","150129_PANGEAsim_Regional_SecondObj_scR_SIMULATED_DATEDTREE","all","central"
"13","scC","s2x","DATEDTREE","G","scC-s2x","SecondObj_scG","decreasing",0.0125740219773388,2018,0.668889115455011,"<10%",0.138760407030527,0.117428924598269,2018,"True","08.05.2015","150129_PANGEAsim_Regional_SecondObj_scG_SIMULATED_DATEDTREE","all","central"
"14","scC","sq","SEQ","C","scC-sq","FirstObj_scC","decreasing",0.0125740219773388,2018,0.668889115455011,"<10%",0.135060129509713,0.11495673671199,2018,"True","08.05.2015","150129_PANGEAsim_Regional_FirstObj_scC_SIMULATED_SEQ","all","central"
"15","scD","ph","DATEDTREE","H","scD-ph","SecondObj_scH","decreasing",0.0125836896023231,2018,0.683734587470529,">30%",0.388503468780971,0.35,2018,"True","08.05.2015","150129_PANGEAsim_Regional_SecondObj_scH_SIMULATED_DATEDTREE","all","central"
"16","scD","s2x","DATEDTREE","K","scD-s2x","SecondObj_scK","decreasing",0.0125836896023231,2018,0.683734587470529,">30%",0.387512388503469,0.36025641025641,2018,"True","08.05.2015","150129_PANGEAsim_Regional_SecondObj_scK_SIMULATED_DATEDTREE","all","central"
"17","scD","sq","SEQ","B","scD-sq","FirstObj_scB","decreasing",0.0125836896023231,2018,0.683734587470529,">30%",0.391476709613479,0.351282051282051,2018,"True","08.05.2015","150129_PANGEAsim_Regional_FirstObj_scB_SIMULATED_SEQ","all","central"
"18","scD","tr20","DATEDTREE","E","scD-tr20","SecondObj_scE","decreasing",0.0125836896023231,2018,0.683734587470529,">30%",0.313181367690783,0.303846153846154,2018,"True","08.05.2015","150129_PANGEAsim_Regional_SecondObj_scE_SIMULATED_DATEDTREE","all","central"
"19","scE","ph","DATEDTREE","N","scE-ph","SecondObj_scN","stable",0.016901946429424,2018,0.951420387286757,"<10%",0.12124248496994,0.139359698681733,2018,"True","08.05.2015","150129_PANGEAsim_Regional_SecondObj_scN_SIMULATED_DATEDTREE","all","central"
"20","scF","ph","DATEDTREE","M","scF-ph","SecondObj_scM","stable",0.0161217295689014,2018,0.882841326392628,">30%",0.367529880478088,0.362086258776329,2018,"True","08.05.2015","150129_PANGEAsim_Regional_SecondObj_scM_SIMULATED_DATEDTREE","all","central"
