endYear,alive.Female,alive.Male,infected.Female,infected.Male,newInfections.Female,newInfections.Male,prevalence.Female,prevalence.Male,incidence.Female,incidence.Male,percInfectedTreated.Female,percInfectedTreated.Male,percNewInfectFromAcute,percNewInfectFromAcute.Female,percNewInfectFromAcute.Male,sampleCoverage.25p,sampleCoverage.25p.Female,sampleCoverage.25p.Male
0.5,3192,2985,1,1,0,1,0.031328320802005,0.033500837520938,0,0.0335120643431635,0,0,0,0,0,0,0,0
1,3182,2983,1,2,0,1,0.0314267756128221,0.0335232986925914,0,0.0335457900033546,0,0,0,0,0,0,0,0
1.5,3177,2984,1,2,0,0,0.0314762354422411,0.0335120643431635,0,0,0,0,0,0,0,0,0,0
2,3175,2974,1,2,0,0,0.031496062992126,0.0336247478143914,0,0,0,0,0,0,0,0,0,0
2.5,3184,2982,1,2,0,0,0.0314070351758794,0.0335345405767941,0,0,0,0,0,0,0,0,0,0
3,3191,2986,2,3,1,1,0.0626762770291445,0.0669792364367046,0.0313577924114142,0.0335232986925914,0,0,0,0,0,0,0,0
3.5,3204,2993,2,3,1,0,0.0624219725343321,0.0668225860340795,0.0312304809494066,0,0,0,0,0,0,0,0,0
4,3212,2997,2,5,0,2,0.062266500622665,0.0667334000667334,0,0.0668449197860962,0,0,0,0,0,0,0,0
4.5,3219,3009,2,5,0,0,0.0621310966138552,0.0664672648720505,0,0,0,0,0,0,0,0,0,0
5,3224,3033,2,5,0,0,0.0620347394540943,0.0659413122321134,0,0,0,0,0,0,0,0,0,0
5.5,3240,3049,2,6,0,1,0.0617283950617284,0.0655952771400459,0,0.0328623069339468,0,0,0,0,0,0,0,0
6,3264,3069,2,6,0,0,0.0612745098039216,0.065167807103291,0,0,0,0,0,0,0,0,0,0
6.5,3278,3090,3,6,1,0,0.0915192190359976,0.0970873786407767,0.0305343511450382,0,0,0,0,0,0,0,0,0
7,3293,3100,3,6,0,0,0.0911023382933495,0.0967741935483871,0,0,0,0,0,0,0,0,0,0
7.5,3313,3110,3,7,0,1,0.0905523694536674,0.0964630225080386,0,0.0322268772155978,0,0,0,0,0,0,0,0
8,3320,3119,3,7,1,0,0.0903614457831325,0.0961846745751844,0.0301568154402895,0,0,0,0,0,0,0,0,0
8.5,3352,3145,4,8,1,1,0.119331742243437,0.127186009538951,0.0298775022408127,0.0318775900541919,0,0,0,0,0,0,0,0
9,3361,3153,7,7,3,0,0.208271347813151,0.222010783380907,0.0894454382826476,0,0,0,0,0,0,0,0,0
9.5,3392,3167,8,11,1,5,0.235849056603774,0.252604988948532,0.0295508274231678,0.158478605388273,0,0,16.6666666666667,100,0,0,0,0
10,3408,3177,7,11,0,1,0.205399061032864,0.220333648095688,0,0.0316055625790139,0,0,0,0,0,0,0,0
10.5,3432,3199,8,12,1,1,0.233100233100233,0.250078149421694,0.0292141396435875,0.0313971742543171,0,0,0,0,0,0,0,0
11,3451,3211,8,12,0,0,0.231816864676905,0.249143568981626,0,0,0,0,0,0,0,0,0,0
11.5,3468,3236,8,12,0,1,0.230680507497116,0.247218788627936,0,0.0310366232153942,0,0,0,0,0,0,0,0
12,3476,3252,9,14,1,2,0.25891829689298,0.276752767527675,0.0288517022504328,0.0617856039542787,0,0,0,0,0,0,0,0
12.5,3494,3273,10,17,1,3,0.286204922724671,0.305530094714329,0.0287026406429392,0.0921658986175115,0,0,0,0,0,0,0,0
13,3507,3294,10,20,1,3,0.285143997718848,0.303582270795386,0.028604118993135,0.0916590284142988,0,0,0,0,0,0,0,0
13.5,3522,3306,12,23,2,3,0.340715502555366,0.362976406533575,0.0569962952408093,0.0913798355162961,0,0,0,0,0,0,0,0
14,3539,3322,16,26,4,4,0.452105114439107,0.481637567730283,0.113571834185122,0.121396054628225,0,0,0,0,0,0,0,0
14.5,3555,3343,18,28,3,3,0.506329113924051,0.538438528268023,0.0848656294200849,0.0905523694536674,0,0,33.3333333333333,33.3333333333333,33.3333333333333,0,0,0
15,3565,3355,20,27,2,1,0.561009817671809,0.596125186289121,0.0564493367202935,0.0300751879699248,0,0,0,0,0,0,0,0
15.5,3590,3373,23,32,4,5,0.64066852367688,0.681885561814409,0.112233445566779,0.149790293588975,0,0,0,0,0,0,0,0
16,3602,3398,23,38,1,8,0.638534147695725,0.676868746321366,0.0279642058165548,0.238379022646007,0,0,11.1111111111111,0,12.5,0,0,0
16.5,3608,3414,28,42,5,7,0.776053215077605,0.820152314001172,0.139703827884884,0.207900207900208,0,0,16.6666666666667,0,28.5714285714286,0,0,0
17,3639,3437,31,49,4,7,0.851882385270679,0.901949374454466,0.110926234054354,0.206916937629323,0,0,9.09090909090909,0,14.2857142857143,0,0,0
17.5,3653,3448,36,53,6,5,0.985491376950452,1.04408352668213,0.166021029330382,0.147449130050133,0,0,9.09090909090909,16.6666666666667,0,0,0,0
