InfectedIn.Year.Range,Inf.Year,R0.All,R0.SexWorkers,R0.LowRisk,R0.HighRisk,R0.LowRisk.Female,R0.LowRisk.Male,R0.HighRisk.Female,R0.HighRisk.Male
0 - <2,0,1.38888888888889,5,1,0.888888888888889,1,1,0,1.14285714285714
2 - <4,2,0.833333333333333,0,0,1,0,0,1,1
4 - <6,4,3.4,11.5,1.33333333333333,1.4,1,2,3,1
6 - <8,6,1.44827586206897,11,1,1.11538461538462,0,1,1,1.1875
8 - <10,8,2.1,13,1.33333333333333,1.31578947368421,0,1.71428571428571,1.2,1.44444444444444
10 - <12,10,1.66101694915254,8.25,0.916666666666667,1.25581395348837,2,0.7,1.23076923076923,1.26666666666667
12 - <14,12,1.60377358490566,10.1666666666667,0.903225806451613,1.17391304347826,0.666666666666667,1.125,1.06896551724138,1.25
14 - <16,14,1.95726495726496,10.3333333333333,0.833333333333333,1.06666666666667,0.764705882352941,0.923076923076923,0.869565217391304,1.15384615384615
16 - <18,16,1.88613861386139,10,0.948275862068966,1.15873015873016,0.541666666666667,1.23529411764706,0.829268292682927,1.31764705882353
18 - <20,18,1.57185628742515,8.11538461538461,0.827956989247312,1.10232558139535,0.477272727272727,1.14285714285714,0.830769230769231,1.22
20 - <22,20,1.35874439461883,7.7,0.794326241134752,0.956363636363636,0.689655172413793,0.867469879518072,0.722772277227723,1.09195402298851
22 - <24,22,1.27346278317152,6.74418604651163,0.730061349693252,0.91747572815534,0.6,0.827956989247312,0.602649006622517,1.09961685823755
24 - <26,24,1.01861252115059,5.6969696969697,0.683168316831683,0.775280898876405,0.370786516853933,0.929203539823009,0.57516339869281,0.926108374384236
26 - <28,26,1.03030303030303,5.96875,0.645454545454546,0.834666666666667,0.515789473684211,0.744,0.579268292682927,1.03317535545024
28 - <30,28,1.00161812297735,5.78125,0.614349775784753,0.818181818181818,0.477064220183486,0.745614035087719,0.670731707317073,0.939698492462312
30 - <32,30,1.03511705685619,5.64705882352941,0.597156398104265,0.852691218130312,0.474747474747475,0.705357142857143,0.692307692307692,0.961904761904762
32 - <34,32,1.07064364207221,5.58974358974359,0.705314009661836,0.813299232736573,0.6,0.786324786324786,0.662420382165605,0.914529914529915
34 - <36,34,0.970238095238095,4.64102564102564,0.590717299578059,0.835858585858586,0.459016393442623,0.730434782608696,0.63855421686747,0.978260869565217
36 - <38,36,0.877037037037037,3.43589743589744,0.603921568627451,0.797900262467192,0.443396226415094,0.718120805369127,0.575757575757576,0.967592592592593
38 - <40,38,0.82701062215478,2.725,0.65296803652968,0.7325,0.558139534883721,0.714285714285714,0.52046783625731,0.890829694323144
40 - <42,40,0.835087719298246,2.96969696969697,0.596774193548387,0.760683760683761,0.46875,0.733333333333333,0.695364238410596,0.81
42 - <44,42,0.863534675615213,3.36111111111111,0.605095541401274,0.669291338582677,0.5,0.685393258426966,0.660714285714286,0.676056338028169
44 - <46,44,0.844074844074844,3.85185185185185,0.581920903954802,0.71841155234657,0.517241379310345,0.644444444444444,0.647540983606557,0.774193548387097
