InfectedIn.Year.Range,Inf.Year,R0.All,R0.SexWorkers,R0.LowRisk,R0.HighRisk,R0.LowRisk.Female,R0.LowRisk.Male,R0.HighRisk.Female,R0.HighRisk.Male
0 - <2,0,1.5,0,1,2,0,1,0,2
2 - <4,2,2,0,1.5,2.33333333333333,2,1,3,2
4 - <6,4,1,0,0,1,0,0,0,1
6 - <8,6,1.66666666666667,0,0,1.66666666666667,0,0,1,3
8 - <10,8,2.83333333333333,12,0.666666666666667,1.14285714285714,0,1,0.5,1.4
10 - <12,10,1,0,0,1.2,0,0,2,0.666666666666667
12 - <14,12,1.61904761904762,8.5,0.714285714285714,1,1,0.5,0.666666666666667,1.11111111111111
14 - <16,14,1.85185185185185,5.25,1.25,1.26315789473684,1,1.33333333333333,0.6,1.5
16 - <18,16,2.06976744186047,10.75,1,1.23333333333333,0.666666666666667,1.16666666666667,0.727272727272727,1.52631578947368
18 - <20,18,1.46808510638298,7.66666666666667,1,1.05714285714286,0.666666666666667,1.16666666666667,1.25,0.956521739130435
20 - <22,20,1.390625,7,0.722222222222222,1.40909090909091,0.636363636363636,0.857142857142857,1.29411764705882,1.48148148148148
22 - <24,22,1.67415730337079,9.85714285714286,0.5,1.09090909090909,0.166666666666667,0.7,0.851851851851852,1.25641025641026
24 - <26,24,1.89915966386555,9.81818181818182,0.962962962962963,1.1358024691358,0.666666666666667,1.04761904761905,0.807692307692308,1.29090909090909
26 - <28,26,1.65116279069767,8.66666666666667,0.835820895522388,1.1,0.56,1,0.9375,1.19512195121951
28 - <30,28,1.19480519480519,7.5,0.689189189189189,0.931034482758621,0.609756097560976,0.787878787878788,0.833333333333333,0.979381443298969
30 - <32,30,1.39542483660131,7.18518518518519,0.674418604651163,0.906735751295337,0.5,0.788461538461538,0.535211267605634,1.12295081967213
32 - <34,32,1.35795454545455,6.62962962962963,0.827160493827161,0.950819672131147,0.514285714285714,1.06521739130435,0.813186813186813,1.03267973856209
34 - <36,34,1.17494089834515,6.56,0.676190476190476,0.89419795221843,0.58,0.763636363636364,0.763636363636364,0.972677595628415
36 - <38,36,1.06636155606407,5,0.673913043478261,0.828996282527881,0.411764705882353,0.827586206896552,0.682692307692308,0.921212121212121
38 - <40,38,0.938,3.76666666666667,0.666666666666667,0.801261829652997,0.557142857142857,0.759036144578313,0.645161290322581,0.901554404145078
40 - <42,40,0.962655601659751,4.41379310344828,0.558441558441558,0.836120401337793,0.484375,0.611111111111111,0.6875,0.947368421052632
42 - <44,42,1.09713024282561,4.52777777777778,0.688741721854305,0.864661654135338,0.53125,0.804597701149425,0.709090909090909,0.974358974358974
44 - <46,44,0.898128898128898,3.70833333333333,0.68361581920904,0.792857142857143,0.586206896551724,0.777777777777778,0.669565217391304,0.878787878787879
