InfectedIn.Year.Range,Inf.Year,R0.All,R0.SexWorkers,R0.LowRisk,R0.HighRisk,R0.LowRisk.Female,R0.LowRisk.Male,R0.HighRisk.Female,R0.HighRisk.Male
0 - <2,0,1,0,0.5,2,1,0,0,2
2 - <4,2,2.07692307692308,9,0.5,0.888888888888889,0,0.5,1,0.875
4 - <6,4,1.08333333333333,0,1.5,1,2,1,0,1.25
6 - <8,6,2,3.6,1.33333333333333,1.14285714285714,2,1,1,1.25
8 - <10,8,1.52380952380952,7,0.75,1.09090909090909,1.33333333333333,0.4,2,1
10 - <12,10,1.22857142857143,6,1,1.11538461538462,0.75,1.25,1.375,1
12 - <14,12,1.77777777777778,7.33333333333333,0.857142857142857,1.17647058823529,0.5,1.33333333333333,0.833333333333333,1.36363636363636
14 - <16,14,1.59090909090909,6.6,0.888888888888889,0.966666666666667,1.33333333333333,0.666666666666667,0.571428571428571,1.3125
16 - <18,16,1.46,7.33333333333333,1,1.12903225806452,1.16666666666667,0.9,0.916666666666667,1.26315789473684
18 - <20,18,2.14285714285714,9.21428571428571,0.666666666666667,1.06349206349206,0.416666666666667,1,0.619047619047619,1.28571428571429
20 - <22,20,1.60294117647059,7.9,0.8,1.21978021978022,0.375,0.925925925925926,1,1.29411764705882
22 - <24,22,1.78823529411765,9.0625,0.741379310344828,1.20833333333333,0.592592592592593,0.870967741935484,0.928571428571429,1.32352941176471
24 - <26,24,1.43700787401575,7.45,0.85,0.948275862068966,0.818181818181818,0.868421052631579,0.885714285714286,0.990384615384615
26 - <28,26,1.32727272727273,7.08,0.822222222222222,0.869767441860465,0.657894736842105,0.942307692307692,0.683544303797468,0.977941176470588
28 - <30,28,1.328611898017,7.38461538461539,0.650602409638554,0.913934426229508,0.625,0.666666666666667,0.7,1.01829268292683
30 - <32,30,1.15222482435597,6.91666666666667,0.627118644067797,0.884210526315789,0.511111111111111,0.698630136986301,0.764150943396226,0.955307262569832
32 - <34,32,1.34381551362683,6.84615384615385,0.748148148148148,0.900990099009901,0.654545454545455,0.8125,0.688524590163934,1.04419889502762
34 - <36,34,1.0550284629981,6,0.720238095238095,0.837837837837838,0.479452054794521,0.905263157894737,0.640625,0.960975609756098
36 - <38,36,0.932624113475177,4.34285714285714,0.575268817204301,0.778425655976676,0.453333333333333,0.657657657657658,0.603174603174603,0.880184331797235
38 - <40,38,0.857142857142857,4.03333333333333,0.618811881188119,0.724719101123595,0.48936170212766,0.731481481481482,0.542483660130719,0.862068965517241
40 - <42,40,0.87170474516696,2.82978723404255,0.598984771573604,0.753846153846154,0.510204081632653,0.686868686868687,0.552238805970149,0.895287958115183
42 - <44,42,0.883089770354906,3.84615384615385,0.647798742138365,0.748299319727891,0.513888888888889,0.758620689655172,0.557971014492754,0.916666666666667
44 - <46,44,0.887254901960784,5.625,0.577181208053691,0.765432098765432,0.571428571428571,0.584615384615385,0.61864406779661,0.904
