InfectedIn.Year.Range,Inf.Year,R0.All,R0.SexWorkers,R0.LowRisk,R0.HighRisk,R0.LowRisk.Female,R0.LowRisk.Male,R0.HighRisk.Female,R0.HighRisk.Male
0 - <2,0,1.5,0,1,2,0,1,0,2
2 - <4,2,2,0,1.5,2.33333333333333,2,1,3,2
4 - <6,4,1,0,0,1,0,0,0,1
6 - <8,6,1.66666666666667,0,0,1.66666666666667,0,0,1,3
8 - <10,8,2.83333333333333,12,0.666666666666667,1.14285714285714,0,1,0.5,1.4
10 - <12,10,1,0,0,1.2,0,0,2,0.666666666666667
12 - <14,12,1.61904761904762,8.5,0.714285714285714,1,1,0.5,0.666666666666667,1.11111111111111
14 - <16,14,1.85185185185185,5.25,1.25,1.26315789473684,1,1.33333333333333,0.6,1.5
16 - <18,16,2.06976744186047,10.75,1,1.23333333333333,0.666666666666667,1.16666666666667,0.727272727272727,1.52631578947368
18 - <20,18,1.46808510638298,7.66666666666667,1,1.05714285714286,0.666666666666667,1.16666666666667,1.25,0.956521739130435
20 - <22,20,1.390625,7,0.722222222222222,1.40909090909091,0.636363636363636,0.857142857142857,1.29411764705882,1.48148148148148
22 - <24,22,1.67415730337079,9.85714285714286,0.5,1.09090909090909,0.166666666666667,0.7,0.851851851851852,1.25641025641026
24 - <26,24,1.89915966386555,9.81818181818182,0.962962962962963,1.1358024691358,0.666666666666667,1.04761904761905,0.807692307692308,1.29090909090909
26 - <28,26,1.65116279069767,8.66666666666667,0.835820895522388,1.1,0.56,1,0.9375,1.19512195121951
28 - <30,28,1.18614718614719,7.41666666666667,0.675675675675676,0.931034482758621,0.585365853658537,0.787878787878788,0.833333333333333,0.979381443298969
30 - <32,30,1.39542483660131,7.11111111111111,0.686046511627907,0.911917098445596,0.529411764705882,0.788461538461538,0.535211267605634,1.13114754098361
32 - <34,32,1.37784090909091,6.77777777777778,0.777777777777778,0.979508196721312,0.514285714285714,0.978260869565217,0.802197802197802,1.08496732026144
34 - <36,34,1.13238770685579,6.08,0.666666666666667,0.877133105802048,0.56,0.763636363636364,0.690909090909091,0.989071038251366
36 - <38,36,0.995423340961098,4.63333333333333,0.630434782608696,0.776951672862453,0.431372549019608,0.747126436781609,0.625,0.872727272727273
38 - <40,38,0.798,2.63333333333333,0.562091503267974,0.738170347003155,0.514285714285714,0.602409638554217,0.580645161290323,0.839378238341969
40 - <42,40,0.924433249370277,2.34782608695652,0.603448275862069,0.941860465116279,0.479166666666667,0.691176470588235,0.873949579831933,1
42 - <44,42,0.852417302798982,2.46666666666667,0.513333333333333,0.863849765258216,0.493150684931507,0.532467532467532,0.775510204081633,0.939130434782609
44 - <46,44,0.880222841225627,3.57142857142857,0.699186991869919,0.720930232558139,0.688524590163934,0.709677419354839,0.650602409638554,0.765151515151515
